"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"34","Imports",616,"Poland",76,"Brazil","160250",37,437,11.8108108108108,2014-03-01
"35","Imports",233,"Estonia",76,"Brazil","160250",8,86,10.75,2014-04-01
"36","Imports",458,"Malaysia",76,"Brazil","160250",1142,4613,4.03940455341506,2014-03-01
"37","Imports",251,"France",76,"Brazil","160250",95921,541510,5.64537483971185,2014-04-01
"38","Imports",233,"Estonia",76,"Brazil","160250",12200,143,0.0117213114754098,2014-03-01
"39","Imports",579,"Norway",76,"Brazil","160250",82,959,11.6951219512195,2014-03-01
"40","Imports",268,"Georgia",76,"Brazil","160250",17394,50637,2.91117626767851,2014-04-01
"41","Imports",842,"United States of America",76,"Brazil","160250",NA,18045442,NA,2014-03-01
"42","Imports",276,"Germany",76,"Brazil","160250",141300,812370,5.74925690021231,2014-04-01
"43","Imports",372,"Ireland",76,"Brazil","160250",2894,25583,8.84001382170007,2014-04-01
"44","Imports",703,"Slovakia",76,"Brazil","160250",17,182,10.7058823529412,2014-03-01
"45","Imports",724,"Spain",76,"Brazil","160250",6500,35053,5.39276923076923,2014-03-01
"46","Imports",470,"Malta",76,"Brazil","160250",99400,569620,5.73058350100604,2014-04-01
"47","Imports",528,"Netherlands",76,"Brazil","160250",229900,1219757,5.3055980861244,2014-04-01
"48","Imports",68,"Bolivia",76,"Brazil","160250",59136,105257,1.77991409632035,2014-03-01
"49","Imports",480,"Mauritius",76,"Brazil","160250",19176,79989,4.17130788485607,2014-03-01
"50","Imports",818,"Egypt",76,"Brazil","160250",NA,1297366,NA,2014-03-01
"51","Imports",132,"Cabo Verde",76,"Brazil","160250",4995,13301,2.66286286286286,2014-03-01
"52","Imports",251,"France",76,"Brazil","160250",65366,445859,6.82096196799559,2015-02-01
"53","Imports",616,"Poland",76,"Brazil","160250",30,373,12.4333333333333,2014-08-01
"54","Imports",600,"Paraguay",76,"Brazil","160250",56640,124171,2.19228460451977,2014-05-01
"55","Imports",352,"Iceland",76,"Brazil","160250",41,515,12.5609756097561,2014-08-01
"56","Imports",28,"Antigua and Barbuda",76,"Brazil","160250",1738,9325,5.36536248561565,2014-03-01
"57","Imports",702,"Singapore",76,"Brazil","160250",73856,349099,4.72675205805893,2014-03-01
"58","Imports",757,"Switzerland",76,"Brazil","160250",52964,605114,11.4250056642248,2014-03-01
"59","Imports",600,"Paraguay",76,"Brazil","160250",14374,22396,1.55809099763462,2014-08-01
"60","Imports",246,"Finland",76,"Brazil","160250",5880,48719,8.28554421768708,2014-03-01
"61","Imports",36,"Australia",76,"Brazil","160250",59017,287199,4.86637748445363,2014-05-01
"62","Imports",60,"Bermuda",76,"Brazil","160250",3,37,12.3333333333333,2014-03-01
"63","Imports",124,"Canada",76,"Brazil","160250",187924,950089,5.05570869074732,2014-03-01
"64","Imports",251,"France",76,"Brazil","160250",50963,288063,5.65239487471303,2014-03-01
"65","Imports",52,"Barbados",76,"Brazil","160250",22460,83175,3.70325022261799,2014-05-01
"66","Imports",554,"New Zealand",76,"Brazil","160250",38124,139115,3.64901374462281,2014-08-01
"67","Imports",152,"Chile",76,"Brazil","160250",164626,1106796,6.72309355751825,2014-08-01
"68","Imports",52,"Barbados",76,"Brazil","160250",67321,251342,3.73348583651461,2014-08-01
"69","Imports",858,"Uruguay",76,"Brazil","160250",7560,23634,3.12619047619048,2014-03-01
"70","Exports",858,"Uruguay",76,"Brazil","160250",44000,51920,1.18,2014-03-01
"71","Exports",381,"Italy",76,"Brazil","160250",114,2815,24.6929824561403,2014-05-01
"72","Imports",328,"Guyana",76,"Brazil","160250",15581,81689,5.24285989345998,2014-03-01
"73","Imports",124,"Canada",76,"Brazil","160250",306384,1665957,5.43748041673194,2014-08-01
"74","Imports",344,"China, Hong Kong SAR",76,"Brazil","160250",1180185,1889450,1.60097781280054,2014-03-01
"75","Imports",591,"Panama",76,"Brazil","160250",16713,84200,5.03799437563573,2014-05-01
"76","Imports",233,"Estonia",76,"Brazil","160250",12,146,12.1666666666667,2014-08-01
"77","Imports",480,"Mauritius",76,"Brazil","160250",55424,291582,5.26093389145497,2014-05-01
"78","Imports",84,"Belize",76,"Brazil","160250",46376,77945,1.68071847507331,2014-03-01
"79","Imports",752,"Sweden",76,"Brazil","160250",57000,335164,5.8800701754386,2014-03-01
"80","Imports",12,"Algeria",76,"Brazil","160250",51320,270012,5.26134060795012,2014-03-01
"81","Imports",686,"Senegal",76,"Brazil","160250",23666,6650,0.280993830812136,2014-03-01
"82","Imports",690,"Seychelles",76,"Brazil","160250",NA,180464,NA,2015-04-01
