period,trade_value_usd,origin,destin,period_date
201404,22,Netherlands,Bosnia Herzegovina,2014-04-01
201404,187735,Spain,Bosnia Herzegovina,2014-04-01
201404,2991,Turkey,Bosnia Herzegovina,2014-04-01
201404,91262,TFYR of Macedonia,Bosnia Herzegovina,2014-04-01
201404,22568,Iran,Armenia,2014-04-01
201408,901014,Belgium,Netherlands,2014-08-01
201408,346030,Germany,Netherlands,2014-08-01
201408,2184,Suriname,Netherlands,2014-08-01
201408,719,Turkey,Netherlands,2014-08-01
201408,37018,United Kingdom,Netherlands,2014-08-01
201408,341236,Spain,Netherlands,2014-08-01
201408,14594,Italy,Malta,2014-08-01
201408,3329,Netherlands,Malta,2014-08-01
201404,9720,Iran,Rep. of Moldova,2014-04-01
201404,106386,Romania,Rep. of Moldova,2014-04-01
201404,2703,Spain,Rep. of Moldova,2014-04-01
201404,279436,Turkey,Rep. of Moldova,2014-04-01
201405,14709,Belgium,Spain,2014-05-01
201405,7062,Czech Rep.,Spain,2014-05-01
201405,1619,France,Spain,2014-05-01
201405,69532,Germany,Spain,2014-05-01
201405,15403,Greece,Spain,2014-05-01
201405,56973,Italy,Spain,2014-05-01
201405,73559,Netherlands,Spain,2014-05-01
201405,5661,Poland,Spain,2014-05-01
201405,1687,Portugal,Spain,2014-05-01
201405,2381,Romania,Spain,2014-05-01
201504,9561,TFYR of Macedonia,Bulgaria,2015-04-01
201504,209123,Albania,Bulgaria,2015-04-01
201504,81791,Germany,Bulgaria,2015-04-01
201504,195272,Greece,Bulgaria,2015-04-01
201504,58131,Romania,Bulgaria,2015-04-01
201504,180699,Turkey,Bulgaria,2015-04-01
201504,16506,Albania,Croatia,2015-04-01
201504,774,Austria,Croatia,2015-04-01
201504,76871,Germany,Croatia,2015-04-01
201504,176015,Italy,Croatia,2015-04-01
201504,2,Netherlands,Croatia,2015-04-01
201504,2439,Slovenia,Croatia,2015-04-01
201504,290001,Spain,Croatia,2015-04-01
201504,27877,TFYR of Macedonia,Croatia,2015-04-01
201404,2507,Austria,Greece,2014-04-01
201404,1403,Bulgaria,Greece,2014-04-01
201404,782,Spain,Greece,2014-04-01
201404,413,Denmark,Ireland,2014-04-01
201404,10434,France,Ireland,2014-04-01
