Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201004,April 2010,4,0,2,Exports,710,South Africa,,0,World,,,,,,,,,1006,Rice,0,,,,,,4099407,,4493415,,,0
HS,2010,201004,April 2010,4,0,1,Imports,710,South Africa,,0,World,,,,,,,,,1006,Rice,0,,,,,,53417116,,29484914,,,0
HS,2010,201004,April 2010,4,0,2,Exports,233,Estonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,62037,,,0
HS,2010,201004,April 2010,4,0,1,Imports,792,Turkey,,0,World,,,,,,,,,1006,Rice,0,,,,,,49498134,,27988793,,,0
HS,2010,201004,April 2010,4,0,2,Exports,348,Hungary,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,420157,,,0
HS,2010,201004,April 2010,4,0,1,Imports,484,Mexico,,0,World,,,,,,,,,1006,Rice,0,,,,,,85573173,,34120881,,,0
HS,2010,201004,April 2010,4,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,1006,Rice,0,,,,,,26937,,16952,,,0
HS,2010,201004,April 2010,4,0,2,Exports,56,Belgium,,0,World,,,,,,,,,1006,Rice,0,,,,,,21538967,,21870843,,,0
HS,2010,201004,April 2010,4,0,2,Exports,484,Mexico,,0,World,,,,,,,,,1006,Rice,0,,,,,,418181,,243090,,,0
HS,2010,201004,April 2010,4,0,2,Exports,620,Portugal,,0,World,,,,,,,,,1006,Rice,0,,,,,,4050733,,1854473,,,0
HS,2010,201004,April 2010,4,0,1,Imports,352,Iceland,,0,World,,,,,,,,,1006,Rice,0,,,,,,68919,,117358,,,0
HS,2010,201004,April 2010,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,301284,,,0
HS,2010,201004,April 2010,4,0,1,Imports,348,Hungary,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1669138,,,0
HS,2010,201004,April 2010,4,0,1,Imports,620,Portugal,,0,World,,,,,,,,,1006,Rice,0,,,,,,5596159,,4001124,,,0
HS,2010,201004,April 2010,4,0,2,Exports,792,Turkey,,0,World,,,,,,,,,1006,Rice,0,,,,,,58329,,115606,,,0
HS,2010,201004,April 2010,4,0,1,Imports,56,Belgium,,0,World,,,,,,,,,1006,Rice,0,,,,,,38820053,,24357039,,,0
HS,2010,201004,April 2010,4,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,1006,Rice,0,,,,,,5642592,,3400312,,,0
HS,2010,201004,April 2010,4,0,1,Imports,470,Malta,,0,World,,,,,,,,,1006,Rice,0,,,,,,200900,,252802,,,0
HS,2010,201004,April 2010,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,1006,Rice,0,,,,,,933765,,589728,,,0
HS,2010,201005,May 2010,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,1006,Rice,0,,,,,,4531919,,3324017,,,0
HS,2010,201005,May 2010,4,0,2,Exports,348,Hungary,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,337066,,,0
HS,2010,201003,March 2010,4,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,256035372,,,0
HS,2010,201003,March 2010,4,0,3,Re-exports,586,Pakistan,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,14379,,,0
HS,2010,201003,March 2010,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,2575621,,,0
HS,2010,201003,March 2010,4,0,2,Exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,525997794,,276250114,,,0
HS,2010,201003,March 2010,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,1006,Rice,0,,,,,,640490,,511141,,,0
HS,2010,201003,March 2010,4,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,1006,Rice,0,,,,,,50,,43,,,0
HS,2010,201003,March 2010,4,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1115354,,,0
HS,2010,201003,March 2010,4,0,2,Exports,300,Greece,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,5233097,,,0
HS,2010,201003,March 2010,4,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,782155,,867827,,,0
HS,2010,201003,March 2010,4,0,1,Imports,300,Greece,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,2459024,,,0
HS,2010,201003,March 2010,4,0,2,Exports,688,Serbia,,0,World,,,,,,,,,1006,Rice,0,,,,,,32301,,27268,,,0
HS,2010,201003,March 2010,4,0,1,Imports,404,Kenya,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,9281571,,,0
HS,2010,201003,March 2010,4,0,1,Imports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,52162838,,,0
HS,2010,201003,March 2010,4,0,1,Imports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,478096996,,,0
HS,2010,201003,March 2010,4,0,2,Exports,428,Latvia,,0,World,,,,,,,,,1006,Rice,0,,,,,,47551,,54027,,,0
HS,2010,201003,March 2010,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,6396637,,,0
HS,2010,201004,April 2010,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,4619476,,,0
HS,2010,201004,April 2010,4,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,1006,Rice,0,,,,,,2866757,,3646722,,,0
HS,2010,201004,April 2010,4,0,1,Imports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,51443003,,,0
HS,2010,201004,April 2010,4,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,1006,Rice,0,,,,,,41400,,67307,,,0
HS,2010,201004,April 2010,4,0,2,Exports,688,Serbia,,0,World,,,,,,,,,1006,Rice,0,,,,,,58889,,60168,,,0
HS,2010,201004,April 2010,4,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,1006,Rice,0,,,,,,476200,,615856,,,0
HS,2010,201004,April 2010,4,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,703600,,,0
HS,2010,201004,April 2010,4,0,1,Imports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,560542289,,343425365,,,0
HS,2010,201004,April 2010,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,1006,Rice,0,,,,,,464996,,372562,,,0
HS,2010,201004,April 2010,4,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,1006,Rice,0,,,,,,372348000,,189097493,,,0
HS,2010,201004,April 2010,4,0,1,Imports,688,Serbia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1270964,,995100,,,0
HS,2010,201004,April 2010,4,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1041128,,,0
HS,2010,201004,April 2010,4,0,2,Exports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,560542289,,343425365,,,0
HS,2010,201004,April 2010,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1746487,,,0
HS,2010,201004,April 2010,4,0,2,Exports,428,Latvia,,0,World,,,,,,,,,1006,Rice,0,,,,,,69620,,65265,,,0
HS,2010,201004,April 2010,4,0,2,Exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,254241142,,,0
HS,2010,201004,April 2010,4,0,1,Imports,300,Greece,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1885659,,,0
HS,2010,201005,May 2010,4,0,1,Imports,586,Pakistan,,0,World,,,,,,,,,1006,Rice,0,,,,,,252000,,704889,,,0
HS,2010,201005,May 2010,4,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,1006,Rice,0,,,,,,2362741,,2846524,,,0
HS,2010,201005,May 2010,4,0,1,Imports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,50974792,,,0
HS,2010,201005,May 2010,4,0,2,Exports,586,Pakistan,,0,World,,,,,,,,,1006,Rice,0,,,,,,348373000,,170885895,,,0
HS,2010,201005,May 2010,4,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,710577,,,0
HS,2010,201005,May 2010,4,0,1,Imports,688,Serbia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1009270,,733691,,,0
HS,2010,201005,May 2010,4,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,1006,Rice,0,,,,,,17900,,26989,,,0
HS,2010,201005,May 2010,4,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,1006,Rice,0,,,,,,78113,,112389,,,0
HS,2010,201005,May 2010,4,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,838078,,,0
HS,2010,201005,May 2010,4,0,2,Exports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,643465054,,359069031,,,0
HS,2010,201005,May 2010,4,0,1,Imports,428,Latvia,,0,World,,,,,,,,,1006,Rice,0,,,,,,308471,,234226,,,0
HS,2010,201005,May 2010,4,0,1,Imports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,643465054,,359069031,,,0
HS,2010,201005,May 2010,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,3670598,,,0
HS,2010,201003,March 2010,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,29206096,,,0
HS,2010,201003,March 2010,4,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,11063285,,,0
HS,2010,201004,April 2010,4,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,21575906,,,0
HS,2010,201004,April 2010,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,25928183,,,0
HS,2010,201004,April 2010,4,0,1,Imports,499,Montenegro,,0,World,,,,,,,,,1006,Rice,0,,,,,,104266,,110999,,,0
HS,2010,201004,April 2010,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,107910,,74756,,,0
HS,2010,201004,April 2010,4,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,14000,,1034,,,0
HS,2010,201004,April 2010,4,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,1006,Rice,0,,,,,,1055033,,769394,,,0
HS,2010,201004,April 2010,4,0,2,Exports,508,Mozambique,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,282081,,,0
HS,2010,201004,April 2010,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,314710,,283565,,,0
HS,2010,201004,April 2010,4,0,1,Imports,108,Burundi,,0,World,,,,,,,,,1006,Rice,0,,,,,,1800000,,552551,,,0
HS,2010,201004,April 2010,4,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,6805237,,3609440,,,0
HS,2010,201004,April 2010,4,0,1,Imports,381,Italy,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,10673937,,,0
HS,2010,201004,April 2010,4,0,2,Exports,381,Italy,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,56147291,,,0
HS,2010,201004,April 2010,4,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,206182,,212297,,,0
HS,2010,201004,April 2010,4,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,13482,,7456,,,0
HS,2010,201005,May 2010,4,0,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,1006,Rice,0,,,,,,972924,,605591,,,0
HS,2010,201005,May 2010,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,130129,,75792,,,0
HS,2010,201005,May 2010,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,703501,,405301,,,0
HS,2010,201005,May 2010,4,0,1,Imports,381,Italy,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,7803574,,,0
HS,2010,201005,May 2010,4,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,315136,,270443,,,0
HS,2010,201005,May 2010,4,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,28259,,28831,,,0
