node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Japan,201510,2,3731,1865.5,2198,2,1996362,998181,1979687,0.996269173483433,4,0,5,0.6138010693530481,1,13.45319851013975,0.02514267634894443,2015-10-01,0,2000093,10
United States of America,201510,34,709531,20868.5588235294,347336,0,0,0,0,-1,34,0,65,0.12434073530299773,1,0,4.781428113787963,2015-10-01,34,709531,10
Guatemala,201510,1,3467,3467,3467,2,26106,13053,25834,0.7655293680045988,3,30,2,9.983462893087005e-4,1,0.1759246070130108,0.02336361803853936,2015-10-01,-1,29573,10
Costa Rica,201510,1,252,252,252,0,0,0,0,-1,1,0,0,5.766031290781422e-10,1,0,0.0016981920235684795,2015-10-01,1,252,10
Netherlands,201510,14,218266,15590.4285714286,69115,5,316929,63385.8,219959,0.18434962957426732,19,258,56,0.08487427765390664,1,2.1357392850695818,1.4708634135563403,2015-10-01,9,535195,10
Australia,201510,3,21849,7283,18683,5,1228550,245710,1133005,0.9650527551605528,8,34,9,0.352852320210911,1,8.279023057758156,0.14723729175772898,2015-10-01,-2,1250399,10
France,201510,21,166402,7923.90476190476,94172,7,1131259,161608.428571429,1099874,0.7435354842289319,28,1150,77,0.34447617635851213,1,7.623392898373232,1.1213593218485798,2015-10-01,14,1297661,10
Germany,201510,29,1286151,44350.0344827586,318557,5,1330595,266119,1225390,0.016984453210208403,34,69,112,0.4233666249999093,1,8.966689744444844,8.667187973431044,2015-10-01,24,2616746,10
Italy,201510,5,5432,1086.4,3629,9,254045,28227.2222222222,77145,0.9581311638411112,14,1082,29,0.03498907988765568,1,1.7119729866168825,0.036605472508031665,2015-10-01,-4,259477,10
Hungary,201510,5,96898,19379.6,51835,3,131878,43959.3333333333,129220,0.1529006539147463,8,337,12,0.02401468871562594,1,0.8887070146196981,0.6529817884910258,2015-10-01,2,228776,10
United Kingdom,201510,25,96216,3848.64,24447,10,1545090,154509,1256302,0.8827567802713205,35,351,76,0.41351298550823207,1,10.412140927362785,0.6483858878558127,2015-10-01,15,1641306,10
Bulgaria,201510,2,2558,1279,1513,4,16336,4084,7550,0.7292262093786387,6,35,8,0.0025937078293494856,1,0.11008597181355032,0.017237996810667344,2015-10-01,-2,18894,10
Latvia,201510,3,665,221.666666666667,540,6,40696,6782.66666666667,29086,0.967844104349508,9,169,15,0.0011265437386560892,1,0.2742445340918367,0.004481340062194599,2015-10-01,-3,41361,10
Poland,201510,5,9548,1909.6,6752,4,451558,112889.5,318557,0.9585865289109229,9,0,14,0.08018294692632057,1,3.042984895946569,0.0643426088929835,2015-10-01,1,461106,10
Sweden,201510,2,3013,1506.5,2776,2,44939,22469.5,30760,0.8743326659993327,4,0,5,0.01139585488370696,1,0.3028375053458091,0.020304176853221542,2015-10-01,0,47952,10
Lithuania,201510,1,29086,29086,29086,6,4381,730.166666666667,2469,-0.7381898586667464,7,0,12,3.3761633160742674e-4,1,0.02952293355259329,0.1960064015774317,2015-10-01,-5,33467,10
