node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
United Kingdom,201509,21,87576,4170.28571428571,27297,44,1641141,37298.6590909091,268414,0.8986809292671964,27,1296,51,0.08833905437064311,1,5.2438667048474485,0.2798277969679145,2015-09-01,-23,1728717,9
Russian Federation,201509,7,5092,727.428571428571,1745,2,18898,9449,9449,0.5754897874114214,4,41,0,2.9620413054357443e-4,1,0.06038396029847958,0.016270246895960315,2015-09-01,5,23990,9
Greece,201509,6,1304,217.333333333333,413,6,34006,5667.66666666667,15530,0.9261399037099972,6,79,5,0.0030762239042319496,2,0.10865789786803348,0.004166614680348046,2015-09-01,0,35310,9
Austria,201509,28,88229,3151.03571428571,19102,4,790913,197728.25,383332,0.7992838472055709,14,85,27,0.09587335017258367,2,2.527170028127388,0.28191429956474523,2015-09-01,24,879142,9
Finland,201509,2,4596,2298,2298,14,72046,5146.14285714286,17414,0.8800657602880927,7,2,6,0.00814843441424963,3,0.23020546108922954,0.014685399594232837,2015-09-01,-12,76642,9
Sri Lanka,201509,2,786,393,393,0,0,0,0,-1,1,0,0,1.047047858258619e-6,3,0,0.0025114717321729784,2015-09-01,2,786,9
Denmark,201509,11,23797,2163.36363636364,7027,29,1296326,44700.8965517241,360439,0.9639472988501829,17,603,28,0.129649978805015,2,4.142094280764464,0.07603752265969513,2015-09-01,-18,1320123,9
Estonia,201509,2,430,215,215,9,139581,15509,66930,0.9938576254722843,5,40,3,0.021932100626028177,3,0.4459971194000465,0.0013739603623847084,2015-09-01,-7,140011,9
Sweden,201509,9,57116,6346.22222222222,10341,2,88523,44261.5,46830,0.21564965428216343,6,0,7,0.01004602288746647,2,0.28285370502181756,0.1825002792045698,2015-09-01,7,145639,9
China,201509,8,2864,358,735,0,0,0,0,-1,4,0,0,1.4001415420976922e-6,3,0,0.009151215064813499,2015-09-01,8,2864,9
Colombia,201509,2,32,16,16,0,0,0,0,-1,1,0,0,8.842652462444151e-9,1,0,1.0224821301467598e-4,2015-09-01,2,32,9
Comoros,201509,14,98318,7022.71428571429,20467,0,0,0,0,-1,6,0,4,0.0035708603034841978,1,0,0.3141512439742785,2015-09-01,14,98318,9
Serbia,201509,2,14,7,7,2,52,26,26,0.5757575757575758,2,1,0,8.50106146119137e-6,3,1.6615334614884846e-4,4.473359319392074e-5,2015-09-01,0,66,9
Tonga,201509,2,74850,37425,37425,0,0,0,0,-1,1,0,0,1.4795462690698326e-6,1,0,0.23916496075464053,2015-09-01,2,74850,9
Fiji,201509,1,235,235,235,0,0,0,0,-1,1,0,0,4.6452020415634694e-9,1,0,7.508853143265267e-4,2015-09-01,1,235,9
Bulgaria,201509,4,1276,319,397,4,21028,5257,6991,0.8855810616929699,4,39,0,1.1090949981639548e-4,2,0.06718985697726895,0.004077147493960205,2015-09-01,0,22304,9
Luxembourg,201509,4,682,170.5,309,16,70085,4380.3125,17426,0.9807254793901112,9,713,12,0.008936900346893805,1,0.22393956278542393,0.0021791650398752817,2015-09-01,-12,70767,9
Latvia,201509,2,1082,541,541,4,12598,3149.5,6068,0.841812865497076,3,50,1,7.605839025001394e-5,2,0.04025384336121525,0.0034572677025587312,2015-09-01,-2,13680,9
Hungary,201509,12,14493,1207.75,5029,10,114849,11484.9,25147,0.7758964605464582,11,225,19,0.009073649310607557,2,0.3669720317663288,0.04630885472567809,2015-09-01,2,129342,9
Slovenia,201509,2,1488,744,744,19,43738,2302,20126,0.9341971432361915,9,9,18,0.006705899353841812,2,0.1397541356511218,0.004754541905182433,2015-09-01,-17,45226,9
Guatemala,201509,4,19206,4801.5,5562,2,7874,3937,3937,-0.41846381093057605,3,3,0,2.358491902246735e-5,4,0.025159450914923706,0.06136809934874584,2015-09-01,2,27080,9
Romania,201509,4,16456,4114,6991,3,20534,6844.66666666667,9953,0.11024601243579346,4,75,2,8.631506449218908e-5,2,0.06561140018885489,0.052581143542797124,2015-09-01,1,36990,9
Japan,201509,2,51750,25875,25875,5,1374354,274870.8,681773,0.9274246478517696,3,0,1,0.22297071990508985,3,4.391413767174124,0.16535453198467132,2015-09-01,-3,1426104,9
Malaysia,201509,2,1068,534,534,4,38066,9516.5,12446,0.9454183063320898,3,0,1,1.2966645088920175e-4,1,0.12163063989427049,0.0034125341093648107,2015-09-01,-2,39134,9
Portugal,201509,6,56748,9458,14233,14,155376,11098.2857142857,71367,0.46495446059851786,9,424,14,0.016798648615604254,1,0.4964661982927592,0.18132442475490101,2015-09-01,-8,212124,9
Brazil,201509,2,30,15,15,2,4806,2403,2403,0.9875930521091811,2,4,0,4.5134426211479526e-4,2,0.015356403492141648,9.585769970125873e-5,2015-09-01,0,4836,9
Lebanon,201509,4,6278,1569.5,2622,0,0,0,0,-1,2,0,0,2.162631342657986e-5,4,0,0.020059821290816744,2015-09-01,4,6278,9
United Arab Emirates,201509,2,468,234,234,0,0,0,0,-1,1,0,0,2.1299313593885668e-8,3,0,0.0014953801153396362,2015-09-01,2,468,9
French Polynesia,201509,6,399580,66596.6666666667,158224,0,0,0,0,-1,3,0,2,0.031477238232641674,2,0,1.276760654887632,2015-09-01,6,399580,9
Rep. of Moldova,201509,2,37332,18666,18666,2,482,241,241,-0.9745067964246047,2,48,0,0.003505945834761639,2,0.0015401137085335568,0.11928532150824636,2015-09-01,0,37814,9
South Africa,201509,3,5696,1898.66666666667,2848,6,723882,120647,254924,0.9843854940801394,4,3,0,0.0848450071636897,3,2.3129887791715524,0.018200181916612324,2015-09-01,-3,729578,9
Slovakia,201509,6,1877,312.833333333333,626,16,5492,343.25,1265,0.49056859818157145,9,1079,16,3.2197997070556e-4,2,0.017548349558643764,0.005997496744642087,2015-09-01,-10,7369,9
Mexico,201509,5,18029,3605.8,7548,2,11124,5562,5562,-0.23685384008506843,3,3,0,6.138749173716138e-5,4,0.035544035049226735,0.05760728226379978,2015-09-01,3,29153,9
