"","period","trade_value_usd","origin","destin","period_date"
"330",201409,1305,"Netherlands","China, Hong Kong SAR",2014-09-01
"331",201409,445,"New Zealand","China, Hong Kong SAR",2014-09-01
"332",201409,3621,"Thailand","China, Hong Kong SAR",2014-09-01
"333",201409,141,"France","China, Hong Kong SAR",2014-09-01
"334",201409,1174,"United States of America","China, Hong Kong SAR",2014-09-01
"335",201409,56875,"Austria","Hungary",2014-09-01
"336",201409,204541,"Germany","Hungary",2014-09-01
"337",201409,14631,"Netherlands","Hungary",2014-09-01
"338",201409,24771,"Romania","Hungary",2014-09-01
"339",201409,29501,"Spain","Hungary",2014-09-01
"340",201409,53587,"Turkey","Hungary",2014-09-01
"341",201509,3700,"Netherlands","Iceland",2015-09-01
"342",201509,80,"Spain","Iceland",2015-09-01
"343",201409,6067,"Australia","Malaysia",2014-09-01
"344",201409,17041,"China","Malaysia",2014-09-01
"345",201409,152,"Indonesia","Malaysia",2014-09-01
"346",201409,106,"Japan","Malaysia",2014-09-01
"347",201409,282,"Netherlands","Malaysia",2014-09-01
"348",201409,3393,"Singapore","Malaysia",2014-09-01
"349",201409,1474,"Viet Nam","Malaysia",2014-09-01
"350",201409,216980,"Thailand","Malaysia",2014-09-01
"351",201409,25,"United States of America","Malaysia",2014-09-01
"352",201507,499966,"Germany","Austria",2015-07-01
"353",201507,385,"Hungary","Austria",2015-07-01
"354",201507,9314,"Italy","Austria",2015-07-01
"355",201507,97018,"Netherlands","Austria",2015-07-01
"356",201507,1440,"Poland","Austria",2015-07-01
"357",201507,923532,"Serbia","Austria",2015-07-01
"358",201507,713695,"Slovenia","Austria",2015-07-01
"359",201507,8302,"Belgium","Austria",2015-07-01
"360",201507,364111,"Bosnia Herzegovina","Austria",2015-07-01
"361",201507,13536,"Czech Rep.","Austria",2015-07-01
"362",201507,10963,"France","Austria",2015-07-01
"363",201507,60819,"Spain","Austria",2015-07-01
"364",201507,90673,"Turkey","Austria",2015-07-01
"365",201507,436717,"TFYR of Macedonia","Austria",2015-07-01
"366",201409,654,"Germany","Cyprus",2014-09-01
"367",201409,4198,"Greece","Cyprus",2014-09-01
"368",201409,359,"Netherlands","Cyprus",2014-09-01
"369",201409,58886,"Bosnia Herzegovina","Croatia",2014-09-01
"370",201409,860,"Austria","Croatia",2014-09-01
"371",201409,11923,"Germany","Croatia",2014-09-01
"372",201409,28498,"Italy","Croatia",2014-09-01
"373",201409,15804,"Serbia","Croatia",2014-09-01
"374",201409,626,"Slovenia","Croatia",2014-09-01
"375",201409,219874,"TFYR of Macedonia","Croatia",2014-09-01
"376",201409,7312,"Spain","Croatia",2014-09-01
"377",201507,69,"United Kingdom","Barbados",2015-07-01
"378",201507,406,"United States of America","Barbados",2015-07-01
"379",201409,108,"Dominica","Montserrat",2014-09-01
"380",201409,305,"Uganda","Rwanda",2014-09-01
"381",201409,30524,"India","Algeria",2014-09-01
"382",201409,9,"Portugal","Cabo Verde",2014-09-01
"383",201409,570,"Spain","Cabo Verde",2014-09-01
"384",201512,15682,"United States of America","Bermuda",2015-12-01
"385",201512,5689,"Denmark","Greenland",2015-12-01
"386",201512,51,"Netherlands","Greenland",2015-12-01
"387",201512,3464,"Portugal","Greenland",2015-12-01
