node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
"China, Hong Kong SAR",201502,6,92362,15393.6666666667,44848,42,15970994,380261.761904762,2323804,0.988500285992541,24,403,91,0.029663694116208564,4,3.6809237363008407,0.021287183385844254,2015-02-01,-36,16063356,2
Hungary,201502,22,2960456,134566.181818182,577090,43,5015972,116650.511627907,681447,0.25769880954231644,34,1334,211,0.019553497866916708,1,1.156058940064745,0.6823127452602037,2015-02-01,-21,7976428,2
United Arab Emirates,201502,6,2992,498.666666666667,1028,0,0,0,0,-1,3,0,1,4.032750808016462e-6,4,0,6.895828662268682e-4,2015-02-01,6,2992,2
Faeroe Isds,201502,4,31940,7985,11393,0,0,0,0,-1,2,0,1,1.0534858265454779e-4,1,0,0.007361389287194577,2015-02-01,4,31940,2
Malta,201502,6,1332254,222042.333333333,460333,14,1132798,80914.1428571429,415331,-0.08091350608425299,10,0,36,0.017524919905821154,5,0.2610822498984171,0.3070519825742681,2015-02-01,-8,2465052,2
Norway,201502,16,266200,16637.5,49911,54,4251234,78726.5555555556,262875,0.8821454834757962,35,237,227,0.02423947112765556,1,0.979805523636736,0.061352593245184606,2015-02-01,-38,4517434,2
Slovenia,201502,20,4215286,210764.3,863742,36,3457040,96028.8888888889,462943,-0.09882869940615141,28,119,174,0.02968490424937736,1,0.7967632192048572,0.9715203883175102,2015-02-01,-16,7672326,2
American Samoa,201502,2,1270,635,635,0,0,0,0,-1,1,0,0,1.7076332820737135e-7,1,0,2.927039572553886e-4,2015-02-01,2,1270,2
Nepal,201502,2,20394,10197,10197,0,0,0,0,-1,1,0,0,9.414514565109169e-6,1,0,0.004700318507296374,2015-02-01,2,20394,2
Free Zones,201502,2,791508,395754,395754,0,0,0,0,-1,1,0,0,4.689473651847802e-5,3,0,0.1824232470860615,2015-02-01,2,791508,2
Philippines,201502,6,108922,18153.6666666667,48758,0,0,0,0,-1,3,0,2,1.2783196417251704e-4,4,0,0.025103858608009007,2015-02-01,6,108922,2
Malaysia,201502,6,546582,91097,272489,0,0,0,0,-1,3,0,3,1.9786347147895904e-4,2,0,0.12597379083824,2015-02-01,6,546582,2
Montenegro,201502,8,222734,27841.75,65240,14,638878,45634.1428571429,209596,0.4829830596602647,11,0,28,0.0012428552721632149,1,0.14724576283732926,0.051334742689229704,2015-02-01,-6,861612,2
Kazakhstan,201502,4,375006,93751.5,123778,20,3337352,166867.6,1339044,0.7979688381346842,12,0,43,0.007821273141416986,1,0.7691780607513273,0.08642971668859391,2015-02-01,-16,3712358,2
