,partner,period,trade_value_usd,reporter,period_date
708,Ireland,201508,2306204,Germany,2015-08-01
709,Netherlands,201508,1456749,Germany,2015-08-01
710,USA,201508,865962,Germany,2015-08-01
745,Greece,201509,3968,Germany,2015-09-01
746,Ireland,201509,1346490,Germany,2015-09-01
747,Netherlands,201509,2421110,Germany,2015-09-01
773,France,201510,127927,Germany,2015-10-01
774,Greece,201510,13900,Germany,2015-10-01
775,Ireland,201510,6073109,Germany,2015-10-01
776,Netherlands,201510,2247371,Germany,2015-10-01
802,France,201511,116,Germany,2015-11-01
803,Germany,201511,74421,Germany,2015-11-01
804,Greece,201511,3286,Germany,2015-11-01
805,Ireland,201511,1453133,Germany,2015-11-01
806,Netherlands,201511,3596103,Germany,2015-11-01
807,USA,201511,512031,Germany,2015-11-01
841,France,201512,283335,Germany,2015-12-01
842,Germany,201512,27922,Germany,2015-12-01
843,Greece,201512,7742,Germany,2015-12-01
844,Ireland,201512,2604277,Germany,2015-12-01
845,Netherlands,201512,2169711,Germany,2015-12-01
846,Spain,201512,655,Germany,2015-12-01
847,USA,201512,255434,Germany,2015-12-01
882,Greece,201601,4762,Germany,2016-01-01
883,Ireland,201601,2011405,Germany,2016-01-01
884,USA,201601,554792,Germany,2016-01-01
915,Greece,201602,8556,Germany,2016-02-01
916,Ireland,201602,2244728,Germany,2016-02-01
917,Netherlands,201602,2147478,Germany,2016-02-01
952,Greece,201603,7455,Germany,2016-03-01
953,Ireland,201603,909553,Germany,2016-03-01
954,Netherlands,201603,4406451,Germany,2016-03-01
955,USA,201603,969990,Germany,2016-03-01
995,Greece,201604,2330,Germany,2016-04-01
996,Ireland,201604,991374,Germany,2016-04-01
997,Netherlands,201604,1234048,Germany,2016-04-01
998,USA,201604,684788,Germany,2016-04-01
1034,Greece,201605,5063,Germany,2016-05-01
1035,Ireland,201605,1925354,Germany,2016-05-01
1036,Netherlands,201605,2392446,Germany,2016-05-01
1037,USA,201605,392092,Germany,2016-05-01
1071,Ireland,201606,606649,Germany,2016-06-01
1072,Netherlands,201606,2498421,Germany,2016-06-01
1073,USA,201606,9821,Germany,2016-06-01
1109,France,201607,118401,Germany,2016-07-01
1110,Greece,201607,7560,Germany,2016-07-01
1111,Ireland,201607,1206287,Germany,2016-07-01
1112,Netherlands,201607,1639042,Germany,2016-07-01
1113,USA,201607,165624,Germany,2016-07-01
1152,Greece,201608,5997,Germany,2016-08-01
1153,Ireland,201608,1838450,Germany,2016-08-01
1154,Netherlands,201608,4776541,Germany,2016-08-01
1155,USA,201608,231357,Germany,2016-08-01
1193,France,201609,52863,Germany,2016-09-01
1194,Greece,201609,6441,Germany,2016-09-01
1195,Ireland,201609,1127293,Germany,2016-09-01
1231,France,201610,49658,Germany,2016-10-01
1232,Greece,201610,10094,Germany,2016-10-01
1233,Ireland,201610,952126,Germany,2016-10-01
1234,Netherlands,201610,2380625,Germany,2016-10-01
1235,USA,201610,343901,Germany,2016-10-01
1271,France,201611,56502,Germany,2016-11-01
1272,Greece,201611,4483,Germany,2016-11-01
1273,Ireland,201611,1174395,Germany,2016-11-01
1274,Netherlands,201611,2044696,Germany,2016-11-01
1275,USA,201611,283742,Germany,2016-11-01
1313,France,201612,131630,Germany,2016-12-01
1314,Ireland,201612,1120089,Germany,2016-12-01
1315,Netherlands,201612,2188928,Germany,2016-12-01
1316,USA,201612,396948,Germany,2016-12-01
33,Greece,201401,11842,Austria,2014-01-01
34,Ireland,201401,776670,Austria,2014-01-01
63,France,201402,260377,Austria,2014-02-01
64,Germany,201402,97551,Austria,2014-02-01
65,Greece,201402,6330,Austria,2014-02-01
66,Ireland,201402,539053,Austria,2014-02-01
67,Netherlands,201402,254015,Austria,2014-02-01
68,USA,201402,219855,Austria,2014-02-01
101,France,201403,542925,Austria,2014-03-01
102,Germany,201403,36419,Austria,2014-03-01
103,Greece,201403,19948,Austria,2014-03-01
104,Ireland,201403,918128,Austria,2014-03-01
105,Netherlands,201403,935714,Austria,2014-03-01
106,USA,201403,647503,Austria,2014-03-01
143,France,201404,393819,Austria,2014-04-01
144,Germany,201404,101702,Austria,2014-04-01
145,Greece,201404,7616,Austria,2014-04-01
146,Ireland,201404,871619,Austria,2014-04-01
182,France,201405,424719,Austria,2014-05-01
183,Germany,201405,73571,Austria,2014-05-01
184,Greece,201405,10407,Austria,2014-05-01
185,Ireland,201405,1184467,Austria,2014-05-01
186,Netherlands,201405,1060084,Austria,2014-05-01
187,USA,201405,315898,Austria,2014-05-01
225,France,201406,414607,Austria,2014-06-01
226,Greece,201406,32263,Austria,2014-06-01
227,Ireland,201406,1025031,Austria,2014-06-01
228,Netherlands,201406,2591552,Austria,2014-06-01
229,USA,201406,786053,Austria,2014-06-01
267,France,201407,367418,Austria,2014-07-01
268,Greece,201407,16287,Austria,2014-07-01
269,Ireland,201407,1310790,Austria,2014-07-01
270,Netherlands,201407,1117828,Austria,2014-07-01
271,USA,201407,571755,Austria,2014-07-01
304,France,201408,346081,Austria,2014-08-01
305,Germany,201408,91872,Austria,2014-08-01
306,Greece,201408,27040,Austria,2014-08-01
307,Ireland,201408,1134158,Austria,2014-08-01
308,Netherlands,201408,1481428,Austria,2014-08-01
309,USA,201408,2246443,Austria,2014-08-01
348,France,201409,261811,Austria,2014-09-01
349,Greece,201409,5815,Austria,2014-09-01
350,Ireland,201409,1799811,Austria,2014-09-01
351,Netherlands,201409,13119,Austria,2014-09-01
389,France,201410,126844,Austria,2014-10-01
390,Germany,201410,100287,Austria,2014-10-01
391,Greece,201410,13111,Austria,2014-10-01
392,Hungary,201410,61424,Austria,2014-10-01
393,Ireland,201410,1330844,Austria,2014-10-01
394,Netherlands,201410,1255551,Austria,2014-10-01
423,France,201411,255549,Austria,2014-11-01
424,Greece,201411,8123,Austria,2014-11-01
425,Hungary,201411,50361,Austria,2014-11-01
426,Ireland,201411,1882021,Austria,2014-11-01
427,Netherlands,201411,1154787,Austria,2014-11-01
428,USA,201411,702585,Austria,2014-11-01
448,France,201412,656,Austria,2014-12-01
449,Greece,201412,14141,Austria,2014-12-01
450,Ireland,201412,2005941,Austria,2014-12-01
451,Netherlands,201412,3439271,Austria,2014-12-01
452,USA,201412,202897,Austria,2014-12-01
479,Germany,201501,64907,Austria,2015-01-01
480,Greece,201501,6594,Austria,2015-01-01
481,Ireland,201501,4581463,Austria,2015-01-01
482,Netherlands,201501,868720,Austria,2015-01-01
483,USA,201501,1187661,Austria,2015-01-01
502,Greece,201502,21175,Austria,2015-02-01
503,Ireland,201502,2285278,Austria,2015-02-01
504,Netherlands,201502,798606,Austria,2015-02-01
505,USA,201502,501664,Austria,2015-02-01
538,Germany,201503,179039,Austria,2015-03-01
539,Greece,201503,11051,Austria,2015-03-01
540,Ireland,201503,3834492,Austria,2015-03-01
541,Netherlands,201503,1194271,Austria,2015-03-01
542,Spain,201503,14475,Austria,2015-03-01
566,Greece,201504,9491,Austria,2015-04-01
567,Ireland,201504,2216406,Austria,2015-04-01
568,Netherlands,201504,3379020,Austria,2015-04-01
569,USA,201504,536685,Austria,2015-04-01
601,Germany,201505,456238,Austria,2015-05-01
602,Greece,201505,13853,Austria,2015-05-01
603,Ireland,201505,2063384,Austria,2015-05-01
604,Netherlands,201505,2084413,Austria,2015-05-01
640,Greece,201506,46175,Austria,2015-06-01
641,Ireland,201506,2989618,Austria,2015-06-01
642,Netherlands,201506,824933,Austria,2015-06-01
679,Greece,201507,33465,Austria,2015-07-01
680,Ireland,201507,3235825,Austria,2015-07-01
681,Netherlands,201507,2115540,Austria,2015-07-01
682,USA,201507,644093,Austria,2015-07-01
707,Greece,201508,4979,Austria,2015-08-01
708,Ireland,201508,2306204,Austria,2015-08-01
709,Netherlands,201508,1456749,Austria,2015-08-01
710,USA,201508,865962,Austria,2015-08-01
745,Greece,201509,3968,Austria,2015-09-01
746,Ireland,201509,1346490,Austria,2015-09-01
747,Netherlands,201509,2421110,Austria,2015-09-01
773,France,201510,127927,Austria,2015-10-01
774,Greece,201510,13900,Austria,2015-10-01
775,Ireland,201510,6073109,Austria,2015-10-01
776,Netherlands,201510,2247371,Austria,2015-10-01
802,France,201511,116,Austria,2015-11-01
803,Germany,201511,74421,Austria,2015-11-01
804,Greece,201511,3286,Austria,2015-11-01
805,Ireland,201511,1453133,Austria,2015-11-01
806,Netherlands,201511,3596103,Austria,2015-11-01
807,USA,201511,512031,Austria,2015-11-01
841,France,201512,283335,Austria,2015-12-01
842,Germany,201512,27922,Austria,2015-12-01
843,Greece,201512,7742,Austria,2015-12-01
844,Ireland,201512,2604277,Austria,2015-12-01
845,Netherlands,201512,2169711,Austria,2015-12-01
846,Spain,201512,655,Austria,2015-12-01
847,USA,201512,255434,Austria,2015-12-01
882,Greece,201601,4762,Austria,2016-01-01
883,Ireland,201601,2011405,Austria,2016-01-01
884,USA,201601,554792,Austria,2016-01-01
915,Greece,201602,8556,Austria,2016-02-01
916,Ireland,201602,2244728,Austria,2016-02-01
917,Netherlands,201602,2147478,Austria,2016-02-01
952,Greece,201603,7455,Austria,2016-03-01
953,Ireland,201603,909553,Austria,2016-03-01
954,Netherlands,201603,4406451,Austria,2016-03-01
955,USA,201603,969990,Austria,2016-03-01
995,Greece,201604,2330,Austria,2016-04-01
996,Ireland,201604,991374,Austria,2016-04-01
997,Netherlands,201604,1234048,Austria,2016-04-01
998,USA,201604,684788,Austria,2016-04-01
1034,Greece,201605,5063,Austria,2016-05-01
1035,Ireland,201605,1925354,Austria,2016-05-01
1036,Netherlands,201605,2392446,Austria,2016-05-01
1037,USA,201605,392092,Austria,2016-05-01
1071,Ireland,201606,606649,Austria,2016-06-01
1072,Netherlands,201606,2498421,Austria,2016-06-01
1073,USA,201606,9821,Austria,2016-06-01
1109,France,201607,118401,Austria,2016-07-01
1110,Greece,201607,7560,Austria,2016-07-01
1111,Ireland,201607,1206287,Austria,2016-07-01
1112,Netherlands,201607,1639042,Austria,2016-07-01
1113,USA,201607,165624,Austria,2016-07-01
1152,Greece,201608,5997,Austria,2016-08-01
1153,Ireland,201608,1838450,Austria,2016-08-01
1154,Netherlands,201608,4776541,Austria,2016-08-01
1155,USA,201608,231357,Austria,2016-08-01
1193,France,201609,52863,Austria,2016-09-01
1194,Greece,201609,6441,Austria,2016-09-01
1195,Ireland,201609,1127293,Austria,2016-09-01
1231,France,201610,49658,Austria,2016-10-01
1232,Greece,201610,10094,Austria,2016-10-01
1233,Ireland,201610,952126,Austria,2016-10-01
1234,Netherlands,201610,2380625,Austria,2016-10-01
1235,USA,201610,343901,Austria,2016-10-01
1271,France,201611,56502,Austria,2016-11-01
1272,Greece,201611,4483,Austria,2016-11-01
1273,Ireland,201611,1174395,Austria,2016-11-01
1274,Netherlands,201611,2044696,Austria,2016-11-01
1275,USA,201611,283742,Austria,2016-11-01
1313,France,201612,131630,Austria,2016-12-01
1314,Ireland,201612,1120089,Austria,2016-12-01
1315,Netherlands,201612,2188928,Austria,2016-12-01
1316,USA,201612,396948,Austria,2016-12-01
33,Greece,201401,11842,Czechia,2014-01-01
34,Ireland,201401,776670,Czechia,2014-01-01
63,France,201402,260377,Czechia,2014-02-01
64,Germany,201402,97551,Czechia,2014-02-01
65,Greece,201402,6330,Czechia,2014-02-01
66,Ireland,201402,539053,Czechia,2014-02-01
67,Netherlands,201402,254015,Czechia,2014-02-01
68,USA,201402,219855,Czechia,2014-02-01
101,France,201403,542925,Czechia,2014-03-01
102,Germany,201403,36419,Czechia,2014-03-01
103,Greece,201403,19948,Czechia,2014-03-01
104,Ireland,201403,918128,Czechia,2014-03-01
105,Netherlands,201403,935714,Czechia,2014-03-01
106,USA,201403,647503,Czechia,2014-03-01
143,France,201404,393819,Czechia,2014-04-01
144,Germany,201404,101702,Czechia,2014-04-01
145,Greece,201404,7616,Czechia,2014-04-01
146,Ireland,201404,871619,Czechia,2014-04-01
182,France,201405,424719,Czechia,2014-05-01
183,Germany,201405,73571,Czechia,2014-05-01
184,Greece,201405,10407,Czechia,2014-05-01
185,Ireland,201405,1184467,Czechia,2014-05-01
186,Netherlands,201405,1060084,Czechia,2014-05-01
187,USA,201405,315898,Czechia,2014-05-01
225,France,201406,414607,Czechia,2014-06-01
226,Greece,201406,32263,Czechia,2014-06-01
227,Ireland,201406,1025031,Czechia,2014-06-01
228,Netherlands,201406,2591552,Czechia,2014-06-01
229,USA,201406,786053,Czechia,2014-06-01
267,France,201407,367418,Czechia,2014-07-01
268,Greece,201407,16287,Czechia,2014-07-01
269,Ireland,201407,1310790,Czechia,2014-07-01
270,Netherlands,201407,1117828,Czechia,2014-07-01
271,USA,201407,571755,Czechia,2014-07-01
304,France,201408,346081,Czechia,2014-08-01
305,Germany,201408,91872,Czechia,2014-08-01
306,Greece,201408,27040,Czechia,2014-08-01
307,Ireland,201408,1134158,Czechia,2014-08-01
308,Netherlands,201408,1481428,Czechia,2014-08-01
309,USA,201408,2246443,Czechia,2014-08-01
348,France,201409,261811,Czechia,2014-09-01
349,Greece,201409,5815,Czechia,2014-09-01
350,Ireland,201409,1799811,Czechia,2014-09-01
351,Netherlands,201409,13119,Czechia,2014-09-01
389,France,201410,126844,Czechia,2014-10-01
390,Germany,201410,100287,Czechia,2014-10-01
391,Greece,201410,13111,Czechia,2014-10-01
392,Hungary,201410,61424,Czechia,2014-10-01
393,Ireland,201410,1330844,Czechia,2014-10-01
394,Netherlands,201410,1255551,Czechia,2014-10-01
423,France,201411,255549,Czechia,2014-11-01
424,Greece,201411,8123,Czechia,2014-11-01
425,Hungary,201411,50361,Czechia,2014-11-01
426,Ireland,201411,1882021,Czechia,2014-11-01
427,Netherlands,201411,1154787,Czechia,2014-11-01
428,USA,201411,702585,Czechia,2014-11-01
448,France,201412,656,Czechia,2014-12-01
449,Greece,201412,14141,Czechia,2014-12-01
450,Ireland,201412,2005941,Czechia,2014-12-01
451,Netherlands,201412,3439271,Czechia,2014-12-01
452,USA,201412,202897,Czechia,2014-12-01
479,Germany,201501,64907,Czechia,2015-01-01
480,Greece,201501,6594,Czechia,2015-01-01
481,Ireland,201501,4581463,Czechia,2015-01-01
482,Netherlands,201501,868720,Czechia,2015-01-01
483,USA,201501,1187661,Czechia,2015-01-01
502,Greece,201502,21175,Czechia,2015-02-01
503,Ireland,201502,2285278,Czechia,2015-02-01
504,Netherlands,201502,798606,Czechia,2015-02-01
505,USA,201502,501664,Czechia,2015-02-01
538,Germany,201503,179039,Czechia,2015-03-01
539,Greece,201503,11051,Czechia,2015-03-01
540,Ireland,201503,3834492,Czechia,2015-03-01
541,Netherlands,201503,1194271,Czechia,2015-03-01
542,Spain,201503,14475,Czechia,2015-03-01
566,Greece,201504,9491,Czechia,2015-04-01
567,Ireland,201504,2216406,Czechia,2015-04-01
568,Netherlands,201504,3379020,Czechia,2015-04-01
569,USA,201504,536685,Czechia,2015-04-01
601,Germany,201505,456238,Czechia,2015-05-01
602,Greece,201505,13853,Czechia,2015-05-01
603,Ireland,201505,2063384,Czechia,2015-05-01
604,Netherlands,201505,2084413,Czechia,2015-05-01
640,Greece,201506,46175,Czechia,2015-06-01
641,Ireland,201506,2989618,Czechia,2015-06-01
642,Netherlands,201506,824933,Czechia,2015-06-01
679,Greece,201507,33465,Czechia,2015-07-01
680,Ireland,201507,3235825,Czechia,2015-07-01
681,Netherlands,201507,2115540,Czechia,2015-07-01
682,USA,201507,644093,Czechia,2015-07-01
707,Greece,201508,4979,Czechia,2015-08-01
708,Ireland,201508,2306204,Czechia,2015-08-01
709,Netherlands,201508,1456749,Czechia,2015-08-01
710,USA,201508,865962,Czechia,2015-08-01
745,Greece,201509,3968,Czechia,2015-09-01
746,Ireland,201509,1346490,Czechia,2015-09-01
747,Netherlands,201509,2421110,Czechia,2015-09-01
773,France,201510,127927,Czechia,2015-10-01
774,Greece,201510,13900,Czechia,2015-10-01
775,Ireland,201510,6073109,Czechia,2015-10-01
776,Netherlands,201510,2247371,Czechia,2015-10-01
802,France,201511,116,Czechia,2015-11-01
803,Germany,201511,74421,Czechia,2015-11-01
804,Greece,201511,3286,Czechia,2015-11-01
805,Ireland,201511,1453133,Czechia,2015-11-01
806,Netherlands,201511,3596103,Czechia,2015-11-01
807,USA,201511,512031,Czechia,2015-11-01
841,France,201512,283335,Czechia,2015-12-01
842,Germany,201512,27922,Czechia,2015-12-01
843,Greece,201512,7742,Czechia,2015-12-01
844,Ireland,201512,2604277,Czechia,2015-12-01
845,Netherlands,201512,2169711,Czechia,2015-12-01
846,Spain,201512,655,Czechia,2015-12-01
847,USA,201512,255434,Czechia,2015-12-01
882,Greece,201601,4762,Czechia,2016-01-01
883,Ireland,201601,2011405,Czechia,2016-01-01
884,USA,201601,554792,Czechia,2016-01-01
915,Greece,201602,8556,Czechia,2016-02-01
916,Ireland,201602,2244728,Czechia,2016-02-01
917,Netherlands,201602,2147478,Czechia,2016-02-01
952,Greece,201603,7455,Czechia,2016-03-01
953,Ireland,201603,909553,Czechia,2016-03-01
954,Netherlands,201603,4406451,Czechia,2016-03-01
955,USA,201603,969990,Czechia,2016-03-01
995,Greece,201604,2330,Czechia,2016-04-01
996,Ireland,201604,991374,Czechia,2016-04-01
997,Netherlands,201604,1234048,Czechia,2016-04-01
998,USA,201604,684788,Czechia,2016-04-01
1034,Greece,201605,5063,Czechia,2016-05-01
1035,Ireland,201605,1925354,Czechia,2016-05-01
1036,Netherlands,201605,2392446,Czechia,2016-05-01
1037,USA,201605,392092,Czechia,2016-05-01
1071,Ireland,201606,606649,Czechia,2016-06-01
1072,Netherlands,201606,2498421,Czechia,2016-06-01
1073,USA,201606,9821,Czechia,2016-06-01
1109,France,201607,118401,Czechia,2016-07-01
1110,Greece,201607,7560,Czechia,2016-07-01
1111,Ireland,201607,1206287,Czechia,2016-07-01
1112,Netherlands,201607,1639042,Czechia,2016-07-01
1113,USA,201607,165624,Czechia,2016-07-01
1152,Greece,201608,5997,Czechia,2016-08-01
1153,Ireland,201608,1838450,Czechia,2016-08-01
1154,Netherlands,201608,4776541,Czechia,2016-08-01
1155,USA,201608,231357,Czechia,2016-08-01
1193,France,201609,52863,Czechia,2016-09-01
1194,Greece,201609,6441,Czechia,2016-09-01
1195,Ireland,201609,1127293,Czechia,2016-09-01
1231,France,201610,49658,Czechia,2016-10-01
1232,Greece,201610,10094,Czechia,2016-10-01
1233,Ireland,201610,952126,Czechia,2016-10-01
1234,Netherlands,201610,2380625,Czechia,2016-10-01
1235,USA,201610,343901,Czechia,2016-10-01
1271,France,201611,56502,Czechia,2016-11-01
1272,Greece,201611,4483,Czechia,2016-11-01
1273,Ireland,201611,1174395,Czechia,2016-11-01
1274,Netherlands,201611,2044696,Czechia,2016-11-01
1275,USA,201611,283742,Czechia,2016-11-01
1313,France,201612,131630,Czechia,2016-12-01
1314,Ireland,201612,1120089,Czechia,2016-12-01
1315,Netherlands,201612,2188928,Czechia,2016-12-01
1316,USA,201612,396948,Czechia,2016-12-01
33,Greece,201401,11842,Denmark,2014-01-01
34,Ireland,201401,776670,Denmark,2014-01-01
63,France,201402,260377,Denmark,2014-02-01
64,Germany,201402,97551,Denmark,2014-02-01
65,Greece,201402,6330,Denmark,2014-02-01
66,Ireland,201402,539053,Denmark,2014-02-01
67,Netherlands,201402,254015,Denmark,2014-02-01
68,USA,201402,219855,Denmark,2014-02-01
101,France,201403,542925,Denmark,2014-03-01
102,Germany,201403,36419,Denmark,2014-03-01
103,Greece,201403,19948,Denmark,2014-03-01
104,Ireland,201403,918128,Denmark,2014-03-01
105,Netherlands,201403,935714,Denmark,2014-03-01
106,USA,201403,647503,Denmark,2014-03-01
143,France,201404,393819,Denmark,2014-04-01
144,Germany,201404,101702,Denmark,2014-04-01
145,Greece,201404,7616,Denmark,2014-04-01
146,Ireland,201404,871619,Denmark,2014-04-01
182,France,201405,424719,Denmark,2014-05-01
183,Germany,201405,73571,Denmark,2014-05-01
184,Greece,201405,10407,Denmark,2014-05-01
185,Ireland,201405,1184467,Denmark,2014-05-01
186,Netherlands,201405,1060084,Denmark,2014-05-01
187,USA,201405,315898,Denmark,2014-05-01
225,France,201406,414607,Denmark,2014-06-01
226,Greece,201406,32263,Denmark,2014-06-01
227,Ireland,201406,1025031,Denmark,2014-06-01
228,Netherlands,201406,2591552,Denmark,2014-06-01
229,USA,201406,786053,Denmark,2014-06-01
267,France,201407,367418,Denmark,2014-07-01
268,Greece,201407,16287,Denmark,2014-07-01
269,Ireland,201407,1310790,Denmark,2014-07-01
270,Netherlands,201407,1117828,Denmark,2014-07-01
271,USA,201407,571755,Denmark,2014-07-01
304,France,201408,346081,Denmark,2014-08-01
305,Germany,201408,91872,Denmark,2014-08-01
306,Greece,201408,27040,Denmark,2014-08-01
307,Ireland,201408,1134158,Denmark,2014-08-01
308,Netherlands,201408,1481428,Denmark,2014-08-01
309,USA,201408,2246443,Denmark,2014-08-01
348,France,201409,261811,Denmark,2014-09-01
349,Greece,201409,5815,Denmark,2014-09-01
350,Ireland,201409,1799811,Denmark,2014-09-01
351,Netherlands,201409,13119,Denmark,2014-09-01
389,France,201410,126844,Denmark,2014-10-01
390,Germany,201410,100287,Denmark,2014-10-01
391,Greece,201410,13111,Denmark,2014-10-01
392,Hungary,201410,61424,Denmark,2014-10-01
393,Ireland,201410,1330844,Denmark,2014-10-01
394,Netherlands,201410,1255551,Denmark,2014-10-01
423,France,201411,255549,Denmark,2014-11-01
424,Greece,201411,8123,Denmark,2014-11-01
425,Hungary,201411,50361,Denmark,2014-11-01
426,Ireland,201411,1882021,Denmark,2014-11-01
427,Netherlands,201411,1154787,Denmark,2014-11-01
428,USA,201411,702585,Denmark,2014-11-01
448,France,201412,656,Denmark,2014-12-01
449,Greece,201412,14141,Denmark,2014-12-01
450,Ireland,201412,2005941,Denmark,2014-12-01
451,Netherlands,201412,3439271,Denmark,2014-12-01
452,USA,201412,202897,Denmark,2014-12-01
479,Germany,201501,64907,Denmark,2015-01-01
480,Greece,201501,6594,Denmark,2015-01-01
481,Ireland,201501,4581463,Denmark,2015-01-01
482,Netherlands,201501,868720,Denmark,2015-01-01
483,USA,201501,1187661,Denmark,2015-01-01
502,Greece,201502,21175,Denmark,2015-02-01
503,Ireland,201502,2285278,Denmark,2015-02-01
504,Netherlands,201502,798606,Denmark,2015-02-01
505,USA,201502,501664,Denmark,2015-02-01
538,Germany,201503,179039,Denmark,2015-03-01
539,Greece,201503,11051,Denmark,2015-03-01
540,Ireland,201503,3834492,Denmark,2015-03-01
541,Netherlands,201503,1194271,Denmark,2015-03-01
542,Spain,201503,14475,Denmark,2015-03-01
566,Greece,201504,9491,Denmark,2015-04-01
567,Ireland,201504,2216406,Denmark,2015-04-01
568,Netherlands,201504,3379020,Denmark,2015-04-01
569,USA,201504,536685,Denmark,2015-04-01
601,Germany,201505,456238,Denmark,2015-05-01
602,Greece,201505,13853,Denmark,2015-05-01
603,Ireland,201505,2063384,Denmark,2015-05-01
604,Netherlands,201505,2084413,Denmark,2015-05-01
640,Greece,201506,46175,Denmark,2015-06-01
641,Ireland,201506,2989618,Denmark,2015-06-01
642,Netherlands,201506,824933,Denmark,2015-06-01
679,Greece,201507,33465,Denmark,2015-07-01
680,Ireland,201507,3235825,Denmark,2015-07-01
681,Netherlands,201507,2115540,Denmark,2015-07-01
682,USA,201507,644093,Denmark,2015-07-01
707,Greece,201508,4979,Denmark,2015-08-01
708,Ireland,201508,2306204,Denmark,2015-08-01
709,Netherlands,201508,1456749,Denmark,2015-08-01
710,USA,201508,865962,Denmark,2015-08-01
745,Greece,201509,3968,Denmark,2015-09-01
746,Ireland,201509,1346490,Denmark,2015-09-01
747,Netherlands,201509,2421110,Denmark,2015-09-01
773,France,201510,127927,Denmark,2015-10-01
774,Greece,201510,13900,Denmark,2015-10-01
775,Ireland,201510,6073109,Denmark,2015-10-01
776,Netherlands,201510,2247371,Denmark,2015-10-01
802,France,201511,116,Denmark,2015-11-01
803,Germany,201511,74421,Denmark,2015-11-01
804,Greece,201511,3286,Denmark,2015-11-01
805,Ireland,201511,1453133,Denmark,2015-11-01
806,Netherlands,201511,3596103,Denmark,2015-11-01
807,USA,201511,512031,Denmark,2015-11-01
841,France,201512,283335,Denmark,2015-12-01
842,Germany,201512,27922,Denmark,2015-12-01
843,Greece,201512,7742,Denmark,2015-12-01
844,Ireland,201512,2604277,Denmark,2015-12-01
845,Netherlands,201512,2169711,Denmark,2015-12-01
846,Spain,201512,655,Denmark,2015-12-01
847,USA,201512,255434,Denmark,2015-12-01
882,Greece,201601,4762,Denmark,2016-01-01
883,Ireland,201601,2011405,Denmark,2016-01-01
884,USA,201601,554792,Denmark,2016-01-01
915,Greece,201602,8556,Denmark,2016-02-01
916,Ireland,201602,2244728,Denmark,2016-02-01
917,Netherlands,201602,2147478,Denmark,2016-02-01
952,Greece,201603,7455,Denmark,2016-03-01
953,Ireland,201603,909553,Denmark,2016-03-01
954,Netherlands,201603,4406451,Denmark,2016-03-01
955,USA,201603,969990,Denmark,2016-03-01
995,Greece,201604,2330,Denmark,2016-04-01
996,Ireland,201604,991374,Denmark,2016-04-01
997,Netherlands,201604,1234048,Denmark,2016-04-01
998,USA,201604,684788,Denmark,2016-04-01
1034,Greece,201605,5063,Denmark,2016-05-01
1035,Ireland,201605,1925354,Denmark,2016-05-01
1036,Netherlands,201605,2392446,Denmark,2016-05-01
1037,USA,201605,392092,Denmark,2016-05-01
1071,Ireland,201606,606649,Denmark,2016-06-01
1072,Netherlands,201606,2498421,Denmark,2016-06-01
1073,USA,201606,9821,Denmark,2016-06-01
1109,France,201607,118401,Denmark,2016-07-01
1110,Greece,201607,7560,Denmark,2016-07-01
1111,Ireland,201607,1206287,Denmark,2016-07-01
1112,Netherlands,201607,1639042,Denmark,2016-07-01
1113,USA,201607,165624,Denmark,2016-07-01
1152,Greece,201608,5997,Denmark,2016-08-01
1153,Ireland,201608,1838450,Denmark,2016-08-01
1154,Netherlands,201608,4776541,Denmark,2016-08-01
1155,USA,201608,231357,Denmark,2016-08-01
1193,France,201609,52863,Denmark,2016-09-01
1194,Greece,201609,6441,Denmark,2016-09-01
1195,Ireland,201609,1127293,Denmark,2016-09-01
1231,France,201610,49658,Denmark,2016-10-01
1232,Greece,201610,10094,Denmark,2016-10-01
1233,Ireland,201610,952126,Denmark,2016-10-01
1234,Netherlands,201610,2380625,Denmark,2016-10-01
1235,USA,201610,343901,Denmark,2016-10-01
1271,France,201611,56502,Denmark,2016-11-01
1272,Greece,201611,4483,Denmark,2016-11-01
1273,Ireland,201611,1174395,Denmark,2016-11-01
1274,Netherlands,201611,2044696,Denmark,2016-11-01
1275,USA,201611,283742,Denmark,2016-11-01
1313,France,201612,131630,Denmark,2016-12-01
1314,Ireland,201612,1120089,Denmark,2016-12-01
1315,Netherlands,201612,2188928,Denmark,2016-12-01
1316,USA,201612,396948,Denmark,2016-12-01
33,Greece,201401,11842,Greece,2014-01-01
34,Ireland,201401,776670,Greece,2014-01-01
63,France,201402,260377,Greece,2014-02-01
64,Germany,201402,97551,Greece,2014-02-01
65,Greece,201402,6330,Greece,2014-02-01
66,Ireland,201402,539053,Greece,2014-02-01
67,Netherlands,201402,254015,Greece,2014-02-01
68,USA,201402,219855,Greece,2014-02-01
101,France,201403,542925,Greece,2014-03-01
102,Germany,201403,36419,Greece,2014-03-01
103,Greece,201403,19948,Greece,2014-03-01
104,Ireland,201403,918128,Greece,2014-03-01
105,Netherlands,201403,935714,Greece,2014-03-01
106,USA,201403,647503,Greece,2014-03-01
143,France,201404,393819,Greece,2014-04-01
144,Germany,201404,101702,Greece,2014-04-01
145,Greece,201404,7616,Greece,2014-04-01
146,Ireland,201404,871619,Greece,2014-04-01
182,France,201405,424719,Greece,2014-05-01
183,Germany,201405,73571,Greece,2014-05-01
184,Greece,201405,10407,Greece,2014-05-01
