,partner,period,trade_value_usd,reporter
1694,Belgium,201604,5414323,Belgium
1695,Bulgaria,201604,68530,Belgium
1696,Denmark,201604,20964049,Belgium
1697,Finland,201604,31791,Belgium
1698,France,201604,5642981,Belgium
1699,Germany,201604,9231741,Belgium
1700,Hungary,201604,64307,Belgium
1701,Ireland,201604,5136982,Belgium
1702,Italy,201604,932586,Belgium
1703,Netherlands,201604,6646311,Belgium
1704,Poland,201604,2983686,Belgium
1705,Portugal,201604,810729,Belgium
1706,Romania,201604,386424,Belgium
1707,Spain,201604,6625222,Belgium
1708,USA,201604,313469,Belgium
1757,World,201605,78991949,Belgium
1758,Belgium,201605,6253271,Belgium
1759,Denmark,201605,28516257,Belgium
1760,Finland,201605,66298,Belgium
1761,France,201605,5152675,Belgium
1762,Germany,201605,13733882,Belgium
1763,Greece,201605,11075,Belgium
1764,Hungary,201605,57059,Belgium
1765,Ireland,201605,5553006,Belgium
1766,Italy,201605,1004288,Belgium
1767,Netherlands,201605,7820516,Belgium
1768,Poland,201605,3072833,Belgium
1769,Portugal,201605,255101,Belgium
1770,Romania,201605,268170,Belgium
1771,Spain,201605,6917200,Belgium
1772,Sweden,201605,33442,Belgium
1773,USA,201605,276874,Belgium
1825,World,201606,98253017,Belgium
1826,Belgium,201606,7079900,Belgium
1827,Chile,201606,23297,Belgium
1828,Denmark,201606,36519869,Belgium
1829,France,201606,6112513,Belgium
1830,Germany,201606,16485464,Belgium
1831,Hungary,201606,136737,Belgium
1832,Ireland,201606,6703355,Belgium
1833,Italy,201606,1016613,Belgium
1834,Netherlands,201606,9169066,Belgium
1835,Poland,201606,4214615,Belgium
1836,Portugal,201606,765555,Belgium
1837,Romania,201606,155292,Belgium
1838,Spain,201606,9524046,Belgium
1839,USA,201606,346697,Belgium
1886,World,201607,88817227,Belgium
1887,Austria,201607,13741,Belgium
1888,Belgium,201607,4889374,Belgium
1889,Denmark,201607,35048158,Belgium
1890,Finland,201607,29092,Belgium
1891,France,201607,4454427,Belgium
1892,Germany,201607,15855292,Belgium
1893,Greece,201607,3031,Belgium
1894,Hungary,201607,107364,Belgium
1895,Ireland,201607,6036589,Belgium
1896,Italy,201607,1016354,Belgium
1897,Netherlands,201607,9043509,Belgium
1898,Poland,201607,3377298,Belgium
1899,Portugal,201607,504661,Belgium
1900,Romania,201607,327371,Belgium
1901,Spain,201607,7790968,Belgium
1902,USA,201607,319997,Belgium
1951,World,201608,98761435,Belgium
1952,Austria,201608,301430,Belgium
1953,Belgium,201608,7506408,Belgium
1954,Denmark,201608,36882607,Belgium
1955,France,201608,5314538,Belgium
1956,Germany,201608,19368806,Belgium
1957,Greece,201608,1939,Belgium
1958,Hungary,201608,105534,Belgium
1959,Ireland,201608,6801256,Belgium
1960,Italy,201608,961706,Belgium
1961,Netherlands,201608,9288367,Belgium
1962,Poland,201608,2290668,Belgium
1963,Portugal,201608,533989,Belgium
1964,Romania,201608,191643,Belgium
1965,Spain,201608,8945648,Belgium
1966,USA,201608,266897,Belgium
2016,World,201609,100155390,Belgium
2017,Austria,201609,357542,Belgium
2018,Belgium,201609,6747526,Belgium
2019,Denmark,201609,36867323,Belgium
2020,France,201609,6329165,Belgium
2021,Germany,201609,18723235,Belgium
2022,Greece,201609,6177,Belgium
2023,Hungary,201609,116757,Belgium
2024,Ireland,201609,6524190,Belgium
2025,Italy,201609,882926,Belgium
2026,Netherlands,201609,10446100,Belgium
2027,Poland,201609,2660214,Belgium
2028,Portugal,201609,500645,Belgium
2029,Romania,201609,592499,Belgium
2030,Spain,201609,9071397,Belgium
2031,USA,201609,329694,Belgium
2080,World,201610,103182198,Belgium
2081,Austria,201610,478856,Belgium
2082,Belgium,201610,6654662,Belgium
2083,Denmark,201610,40850066,Belgium
2084,Finland,201610,3750,Belgium
2085,France,201610,4166827,Belgium
2086,Germany,201610,18272509,Belgium
2087,Greece,201610,4638,Belgium
2088,Hungary,201610,466083,Belgium
2089,Ireland,201610,7556388,Belgium
2090,Italy,201610,502160,Belgium
2091,Netherlands,201610,8614983,Belgium
2092,Poland,201610,3736910,Belgium
2093,Portugal,201610,626779,Belgium
2094,Romania,201610,499502,Belgium
2095,Spain,201610,10531491,Belgium
2096,USA,201610,216597,Belgium
2147,World,201611,109900669,Belgium
2148,Austria,201611,327651,Belgium
2149,Belgium,201611,7862851,Belgium
2150,Cyprus,201611,61300,Belgium
2151,Denmark,201611,42859868,Belgium
2152,Finland,201611,3006,Belgium
2153,France,201611,4791048,Belgium
2154,Germany,201611,19485319,Belgium
2155,Greece,201611,3155,Belgium
2156,Hungary,201611,183889,Belgium
2157,Ireland,201611,8155537,Belgium
2158,Italy,201611,768373,Belgium
2159,Netherlands,201611,9746675,Belgium
2160,Poland,201611,4450553,Belgium
2161,Portugal,201611,356982,Belgium
2162,Romania,201611,197857,Belgium
2163,Spain,201611,10271597,Belgium
2164,USA,201611,375008,Belgium
2211,World,201612,104645534,Belgium
2212,Austria,201612,219090,Belgium
2213,Belgium,201612,7606168,Belgium
2214,Denmark,201612,42522360,Belgium
2215,France,201612,4951734,Belgium
2216,Germany,201612,16863338,Belgium
2217,Hungary,201612,59797,Belgium
2218,Ireland,201612,8824803,Belgium
2219,Italy,201612,447585,Belgium
2220,Netherlands,201612,9477252,Belgium
2221,Poland,201612,2958241,Belgium
2222,Portugal,201612,557022,Belgium
2223,Romania,201612,313510,Belgium
2224,Spain,201612,9564851,Belgium
2225,USA,201612,279782,Belgium
44,World,201401,101084460,Bulgaria
45,Australia,201401,4975,Bulgaria
46,Belgium,201401,7326630,Bulgaria
47,Denmark,201401,22405326,Bulgaria
48,Finland,201401,130378,Bulgaria
49,France,201401,8895615,Bulgaria
50,Germany,201401,27724830,Bulgaria
51,Greece,201401,8519,Bulgaria
52,Hungary,201401,4002,Bulgaria
53,Ireland,201401,9721355,Bulgaria
54,Italy,201401,1273936,Bulgaria
55,Netherlands,201401,13396068,Bulgaria
56,Poland,201401,559418,Bulgaria
57,Portugal,201401,588549,Bulgaria
58,Spain,201401,8732108,Bulgaria
59,USA,201401,312753,Bulgaria
103,World,201402,84688990,Bulgaria
104,Austria,201402,20317,Bulgaria
105,Belgium,201402,5967764,Bulgaria
106,Chile,201402,82262,Bulgaria
107,Denmark,201402,20089943,Bulgaria
108,France,201402,7912475,Bulgaria
109,Germany,201402,21518559,Bulgaria
110,Greece,201402,67399,Bulgaria
111,Ireland,201402,8317191,Bulgaria
112,Italy,201402,766884,Bulgaria
113,Netherlands,201402,10154285,Bulgaria
114,Poland,201402,466449,Bulgaria
115,Portugal,201402,478496,Bulgaria
116,Spain,201402,8540232,Bulgaria
117,USA,201402,306736,Bulgaria
156,World,201403,94409048,Bulgaria
157,Belgium,201403,7531676,Bulgaria
158,Chile,201403,166208,Bulgaria
159,Denmark,201403,17574796,Bulgaria
160,Finland,201403,104333,Bulgaria
161,France,201403,9104348,Bulgaria
162,Germany,201403,24298500,Bulgaria
163,Greece,201403,148352,Bulgaria
164,Ireland,201403,9050441,Bulgaria
165,Italy,201403,979742,Bulgaria
166,Netherlands,201403,14236273,Bulgaria
167,Poland,201403,654754,Bulgaria
168,Portugal,201403,520064,Bulgaria
169,Spain,201403,9691075,Bulgaria
170,Sweden,201403,94610,Bulgaria
171,USA,201403,253876,Bulgaria
212,World,201404,97394001,Bulgaria
213,Belgium,201404,8929280,Bulgaria
214,Chile,201404,81802,Bulgaria
215,Denmark,201404,19136165,Bulgaria
216,France,201404,10069663,Bulgaria
217,Germany,201404,23623640,Bulgaria
218,Greece,201404,41667,Bulgaria
219,Ireland,201404,9991217,Bulgaria
220,Italy,201404,860759,Bulgaria
221,Netherlands,201404,13940260,Bulgaria
222,Poland,201404,515531,Bulgaria
223,Portugal,201404,678942,Bulgaria
224,Spain,201404,9012025,Bulgaria
225,USA,201404,513051,Bulgaria
269,World,201405,104790329,Bulgaria
270,Belgium,201405,8976193,Bulgaria
271,Denmark,201405,23765248,Bulgaria
272,Finland,201405,138087,Bulgaria
273,France,201405,9588147,Bulgaria
274,Germany,201405,25730689,Bulgaria
275,Greece,201405,126963,Bulgaria
276,Ireland,201405,10529370,Bulgaria
277,Italy,201405,1521008,Bulgaria
278,Netherlands,201405,13876058,Bulgaria
279,Poland,201405,884429,Bulgaria
280,Portugal,201405,646755,Bulgaria
281,Spain,201405,8607474,Bulgaria
282,USA,201405,399907,Bulgaria
328,World,201406,105055213,Bulgaria
329,Belgium,201406,10108130,Bulgaria
330,Chile,201406,63778,Bulgaria
331,Denmark,201406,18156357,Bulgaria
332,Finland,201406,2546,Bulgaria
333,France,201406,10020099,Bulgaria
334,Germany,201406,23231395,Bulgaria
335,Greece,201406,14171,Bulgaria
336,Hungary,201406,57112,Bulgaria
337,Ireland,201406,11436831,Bulgaria
338,Italy,201406,1340777,Bulgaria
339,Netherlands,201406,14627759,Bulgaria
340,Poland,201406,1915187,Bulgaria
341,Portugal,201406,1183540,Bulgaria
342,Spain,201406,12333096,Bulgaria
343,USA,201406,564436,Bulgaria
386,World,201407,102402677,Bulgaria
387,Belgium,201407,10216178,Bulgaria
388,Denmark,201407,24387122,Bulgaria
389,Finland,201407,129500,Bulgaria
390,France,201407,10464344,Bulgaria
391,Germany,201407,20883840,Bulgaria
392,Greece,201407,19288,Bulgaria
393,Ireland,201407,10137007,Bulgaria
394,Italy,201407,1042247,Bulgaria
395,Netherlands,201407,13496923,Bulgaria
396,Poland,201407,1899692,Bulgaria
397,Portugal,201407,932019,Bulgaria
398,Spain,201407,8471567,Bulgaria
399,USA,201407,322951,Bulgaria
442,World,201408,91341869,Bulgaria
443,Austria,201408,5519,Bulgaria
444,Belgium,201408,8751996,Bulgaria
445,Denmark,201408,20360922,Bulgaria
446,Finland,201408,317625,Bulgaria
447,France,201408,7759806,Bulgaria
448,Germany,201408,19757690,Bulgaria
449,Greece,201408,9131,Bulgaria
450,Ireland,201408,8786646,Bulgaria
451,Italy,201408,1180247,Bulgaria
452,Netherlands,201408,13875530,Bulgaria
453,Poland,201408,2183509,Bulgaria
454,Portugal,201408,848848,Bulgaria
455,Romania,201408,15353,Bulgaria
456,Spain,201408,7108242,Bulgaria
457,USA,201408,380805,Bulgaria
502,World,201409,97426007,Bulgaria
503,Belgium,201409,9667715,Bulgaria
504,Denmark,201409,24639936,Bulgaria
505,Finland,201409,131438,Bulgaria
506,France,201409,8511429,Bulgaria
507,Germany,201409,19060930,Bulgaria
508,Greece,201409,120462,Bulgaria
509,Ireland,201409,10420444,Bulgaria
510,Italy,201409,954447,Bulgaria
511,Netherlands,201409,12725451,Bulgaria
512,Poland,201409,1719064,Bulgaria
513,Portugal,201409,1316532,Bulgaria
514,Spain,201409,7686103,Bulgaria
515,USA,201409,472057,Bulgaria
558,World,201410,90568663,Bulgaria
559,Austria,201410,7418,Bulgaria
560,Belgium,201410,8309487,Bulgaria
561,Denmark,201410,21266601,Bulgaria
562,Finland,201410,152745,Bulgaria
563,France,201410,8755072,Bulgaria
564,Germany,201410,20608759,Bulgaria
565,Greece,201410,41914,Bulgaria
566,Ireland,201410,8819655,Bulgaria
567,Italy,201410,961029,Bulgaria
568,Netherlands,201410,11975701,Bulgaria
569,Poland,201410,2281267,Bulgaria
570,Portugal,201410,1003859,Bulgaria
571,Spain,201410,5942482,Bulgaria
572,USA,201410,442676,Bulgaria
621,World,201411,91486065,Bulgaria
622,Belgium,201411,8016154,Bulgaria
623,Czechia,201411,50,Bulgaria
624,Denmark,201411,27368605,Bulgaria
625,Finland,201411,24056,Bulgaria
626,France,201411,7104961,Bulgaria
627,Germany,201411,17560508,Bulgaria
628,Greece,201411,84452,Bulgaria
629,Ireland,201411,9422880,Bulgaria
630,Italy,201411,741881,Bulgaria
631,Netherlands,201411,11261233,Bulgaria
632,Poland,201411,1885312,Bulgaria
633,Portugal,201411,1128141,Bulgaria
634,Spain,201411,6480186,Bulgaria
635,USA,201411,407645,Bulgaria
682,World,201412,91835522,Bulgaria
683,Austria,201412,10763,Bulgaria
684,Belgium,201412,9554926,Bulgaria
685,Czechia,201412,103,Bulgaria
686,Denmark,201412,24726065,Bulgaria
687,France,201412,7756407,Bulgaria
688,Germany,201412,17780096,Bulgaria
689,Greece,201412,70030,Bulgaria
690,Ireland,201412,9983318,Bulgaria
691,Italy,201412,798717,Bulgaria
692,Netherlands,201412,10970938,Bulgaria
693,Poland,201412,1762577,Bulgaria
694,Portugal,201412,912689,Bulgaria
695,Spain,201412,7037522,Bulgaria
696,Sweden,201412,43044,Bulgaria
697,USA,201412,428326,Bulgaria
744,World,201501,74903188,Bulgaria
745,Australia,201501,17462,Bulgaria
746,Belgium,201501,5465149,Bulgaria
747,Bulgaria,201501,428,Bulgaria
748,Czechia,201501,100,Bulgaria
749,Denmark,201501,17136471,Bulgaria
750,France,201501,6554323,Bulgaria
751,Germany,201501,18343416,Bulgaria
752,Greece,201501,9709,Bulgaria
753,Hungary,201501,176535,Bulgaria
754,Ireland,201501,7728740,Bulgaria
755,Italy,201501,732684,Bulgaria
756,Netherlands,201501,9624538,Bulgaria
757,Poland,201501,1672819,Bulgaria
758,Portugal,201501,662669,Bulgaria
759,Spain,201501,6224035,Bulgaria
760,Sweden,201501,193517,Bulgaria
761,USA,201501,360594,Bulgaria
805,World,201502,71711555,Bulgaria
806,Belgium,201502,6972443,Bulgaria
807,Bulgaria,201502,1194,Bulgaria
808,Denmark,201502,14748674,Bulgaria
809,Finland,201502,147205,Bulgaria
810,France,201502,5594079,Bulgaria
811,Germany,201502,15730522,Bulgaria
812,Greece,201502,25316,Bulgaria
813,Hungary,201502,361200,Bulgaria
814,Ireland,201502,7716917,Bulgaria
815,Italy,201502,868415,Bulgaria
816,Netherlands,201502,10719233,Bulgaria
817,Poland,201502,1848489,Bulgaria
818,Portugal,201502,761555,Bulgaria
819,Romania,201502,193816,Bulgaria
820,Spain,201502,5672963,Bulgaria
821,USA,201502,349533,Bulgaria
868,World,201503,79284437,Bulgaria
869,Belgium,201503,8257345,Bulgaria
870,Denmark,201503,15712766,Bulgaria
871,Finland,201503,110715,Bulgaria
872,France,201503,6315198,Bulgaria
873,Germany,201503,16576893,Bulgaria
874,Greece,201503,5896,Bulgaria
875,Hungary,201503,112577,Bulgaria
876,Ireland,201503,8232488,Bulgaria
877,Italy,201503,681679,Bulgaria
878,Netherlands,201503,10445179,Bulgaria
879,Poland,201503,3129044,Bulgaria
880,Portugal,201503,1006807,Bulgaria
881,Romania,201503,91189,Bulgaria
882,Spain,201503,8177103,Bulgaria
883,Sweden,201503,173067,Bulgaria
884,USA,201503,256491,Bulgaria
931,World,201504,73829039,Bulgaria
932,Austria,201504,125755,Bulgaria
933,Belgium,201504,7612820,Bulgaria
934,Denmark,201504,13399219,Bulgaria
935,France,201504,5561114,Bulgaria
936,Germany,201504,16637538,Bulgaria
937,Greece,201504,5583,Bulgaria
938,Hungary,201504,4959,Bulgaria
939,Ireland,201504,8918732,Bulgaria
940,Italy,201504,935374,Bulgaria
941,Netherlands,201504,9032820,Bulgaria
942,Poland,201504,1791163,Bulgaria
943,Portugal,201504,647790,Bulgaria
944,Romania,201504,127686,Bulgaria
945,Spain,201504,8621482,Bulgaria
946,USA,201504,407002,Bulgaria
989,World,201505,72248669,Bulgaria
990,Austria,201505,5895,Bulgaria
991,Belgium,201505,6946503,Bulgaria
992,Denmark,201505,15125236,Bulgaria
993,Finland,201505,28754,Bulgaria
994,France,201505,5349500,Bulgaria
995,Germany,201505,16811456,Bulgaria
996,Greece,201505,34394,Bulgaria
997,Hungary,201505,57710,Bulgaria
998,Ireland,201505,7300356,Bulgaria
999,Italy,201505,1089200,Bulgaria
1000,Netherlands,201505,8180695,Bulgaria
1001,Poland,201505,1982180,Bulgaria
1002,Portugal,201505,425447,Bulgaria
1003,Romania,201505,70377,Bulgaria
1004,Spain,201505,8491844,Bulgaria
1005,Sweden,201505,69784,Bulgaria
1006,USA,201505,279338,Bulgaria
1053,World,201506,82906126,Bulgaria
1054,Austria,201506,6166,Bulgaria
1055,Belgium,201506,8268806,Bulgaria
1056,Denmark,201506,17607212,Bulgaria
1057,France,201506,6871463,Bulgaria
1058,Germany,201506,17235567,Bulgaria
1059,Greece,201506,8849,Bulgaria
1060,Hungary,201506,60154,Bulgaria
1061,Ireland,201506,8613349,Bulgaria
1062,Italy,201506,1127979,Bulgaria
1063,Netherlands,201506,10760163,Bulgaria
1064,Poland,201506,2500460,Bulgaria
1065,Portugal,201506,762024,Bulgaria
1066,Romania,201506,304615,Bulgaria
1067,Spain,201506,8353629,Bulgaria
1068,Sweden,201506,34457,Bulgaria
1069,USA,201506,391232,Bulgaria
1116,World,201507,82252969,Bulgaria
1117,Austria,201507,1209,Bulgaria
1118,Belgium,201507,7533513,Bulgaria
1119,Denmark,201507,18990168,Bulgaria
1120,Finland,201507,94662,Bulgaria
1121,France,201507,7128539,Bulgaria
1122,Germany,201507,15607085,Bulgaria
1123,Greece,201507,13731,Bulgaria
1124,Hungary,201507,64576,Bulgaria
1125,Ireland,201507,9778336,Bulgaria
1126,Italy,201507,1299019,Bulgaria
1127,Netherlands,201507,9580232,Bulgaria
1128,Poland,201507,2118323,Bulgaria
1129,Portugal,201507,688352,Bulgaria
1130,Romania,201507,122055,Bulgaria
1131,Spain,201507,8828562,Bulgaria
1132,Sweden,201507,34274,Bulgaria
1133,USA,201507,370334,Bulgaria
1180,World,201508,77768839,Bulgaria
1181,Austria,201508,18766,Bulgaria
1182,Belgium,201508,7855435,Bulgaria
1183,Denmark,201508,16491927,Bulgaria
1184,France,201508,6144669,Bulgaria
1185,Germany,201508,16146994,Bulgaria
1186,Ireland,201508,8015058,Bulgaria
1187,Italy,201508,1250061,Bulgaria
1188,Lithuania,201508,197,Bulgaria
1189,Netherlands,201508,10400212,Bulgaria
1190,Poland,201508,2498655,Bulgaria
1191,Portugal,201508,83808,Bulgaria
1192,Romania,201508,397379,Bulgaria
1193,Spain,201508,8227538,Bulgaria
1194,Sweden,201508,34705,Bulgaria
1195,USA,201508,203436,Bulgaria
1244,World,201509,77008084,Bulgaria
1245,Belgium,201509,7071777,Bulgaria
1246,Bulgaria,201509,82972,Bulgaria
1247,Denmark,201509,17398406,Bulgaria
1248,Finland,201509,68312,Bulgaria
1249,France,201509,6569170,Bulgaria
1250,Germany,201509,14692310,Bulgaria
1251,Greece,201509,13890,Bulgaria
1252,Hungary,201509,131179,Bulgaria
1253,Ireland,201509,8273200,Bulgaria
1254,Italy,201509,839827,Bulgaria
1255,Netherlands,201509,9815315,Bulgaria
1256,Poland,201509,2094690,Bulgaria
1257,Portugal,201509,460891,Bulgaria
1258,Romania,201509,82591,Bulgaria
1259,Spain,201509,9049872,Bulgaria
1260,USA,201509,363681,Bulgaria
1308,World,201510,86029917,Bulgaria
1309,Australia,201510,14154,Bulgaria
1310,Belgium,201510,7432137,Bulgaria
1311,Bulgaria,201510,92677,Bulgaria
1312,Czechia,201510,21,Bulgaria
1313,Denmark,201510,21184941,Bulgaria
1314,Finland,201510,34127,Bulgaria
1315,France,201510,6832776,Bulgaria
1316,Germany,201510,17595611,Bulgaria
1317,Greece,201510,21098,Bulgaria
1318,Hungary,201510,63074,Bulgaria
1319,Ireland,201510,8215409,Bulgaria
1320,Italy,201510,930954,Bulgaria
1321,Netherlands,201510,10772961,Bulgaria
1322,Poland,201510,2748155,Bulgaria
1323,Portugal,201510,456467,Bulgaria
1324,Romania,201510,107691,Bulgaria
1325,Spain,201510,9119449,Bulgaria
1326,USA,201510,408213,Bulgaria
1371,World,201511,86125508,Bulgaria
1372,Belgium,201511,6347962,Bulgaria
1373,Bulgaria,201511,108266,Bulgaria
1374,Denmark,201511,23461077,Bulgaria
1375,Finland,201511,33846,Bulgaria
1376,France,201511,6349982,Bulgaria
1377,Germany,201511,17898288,Bulgaria
1378,Greece,201511,46520,Bulgaria
1379,Ireland,201511,7762052,Bulgaria
1380,Italy,201511,801554,Bulgaria
1381,Netherlands,201511,11042734,Bulgaria
1382,Poland,201511,2512211,Bulgaria
1383,Portugal,201511,549766,Bulgaria
1384,Romania,201511,202389,Bulgaria
1385,Spain,201511,8669353,Bulgaria
1386,Sweden,201511,34980,Bulgaria
1387,USA,201511,304530,Bulgaria
1432,World,201512,72260013,Bulgaria
1433,Belgium,201512,6139075,Bulgaria
1434,Bulgaria,201512,135253,Bulgaria
1435,Denmark,201512,19019059,Bulgaria
1436,Finland,201512,33368,Bulgaria
1437,France,201512,6291832,Bulgaria
1438,Germany,201512,11882930,Bulgaria
1439,Hungary,201512,52048,Bulgaria
1440,Ireland,201512,7403952,Bulgaria
1441,Italy,201512,890040,Bulgaria
1442,Netherlands,201512,9055948,Bulgaria
1443,Poland,201512,2881417,Bulgaria
1444,Portugal,201512,483654,Bulgaria
1445,Romania,201512,183569,Bulgaria
1446,Spain,201512,7519762,Bulgaria
1447,USA,201512,288106,Bulgaria
1493,World,201601,61922717,Bulgaria
1494,Belgium,201601,5306690,Bulgaria
1495,Bulgaria,201601,51492,Bulgaria
1496,Denmark,201601,16393516,Bulgaria
1497,Finland,201601,64037,Bulgaria
1498,France,201601,4986638,Bulgaria
1499,Germany,201601,11796995,Bulgaria
1500,Greece,201601,1675,Bulgaria
1501,Hungary,201601,60628,Bulgaria
1502,Ireland,201601,6354300,Bulgaria
1503,Italy,201601,927828,Bulgaria
1504,Lithuania,201601,402,Bulgaria
1505,Netherlands,201601,6150526,Bulgaria
1506,Poland,201601,2548804,Bulgaria
1507,Portugal,201601,466885,Bulgaria
1508,Romania,201601,150896,Bulgaria
1509,Spain,201601,6434301,Bulgaria
1510,USA,201601,227104,Bulgaria
1560,World,201602,62722846,Bulgaria
1561,Belgium,201602,4716897,Bulgaria
1562,Bulgaria,201602,54481,Bulgaria
1563,Denmark,201602,15768425,Bulgaria
1564,France,201602,5991099,Bulgaria
1565,Germany,201602,12182363,Bulgaria
1566,Greece,201602,5319,Bulgaria
1567,Hungary,201602,58844,Bulgaria
1568,Ireland,201602,6430284,Bulgaria
1569,Italy,201602,766575,Bulgaria
1570,Lithuania,201602,274,Bulgaria
1571,Netherlands,201602,6705802,Bulgaria
1572,Poland,201602,2132806,Bulgaria
1573,Portugal,201602,407873,Bulgaria
1574,Romania,201602,243258,Bulgaria
1575,Spain,201602,6908940,Bulgaria
1576,Sweden,201602,12590,Bulgaria
1577,USA,201602,337014,Bulgaria
1625,World,201603,66392843,Bulgaria
1626,Belgium,201603,5712764,Bulgaria
1627,Bulgaria,201603,77926,Bulgaria
1628,Denmark,201603,15612479,Bulgaria
1629,Finland,201603,31657,Bulgaria
1630,France,201603,6099436,Bulgaria
1631,Germany,201603,10910183,Bulgaria
1632,Greece,201603,7813,Bulgaria
1633,Hungary,201603,82180,Bulgaria
1634,Ireland,201603,7017863,Bulgaria
1635,Italy,201603,718741,Bulgaria
1636,Latvia,201603,9684,Bulgaria
1637,Netherlands,201603,8939982,Bulgaria
1638,Poland,201603,2685394,Bulgaria
1639,Portugal,201603,558406,Bulgaria
1640,Romania,201603,307289,Bulgaria
1641,Spain,201603,7368048,Bulgaria
1642,USA,201603,252998,Bulgaria
1691,World,201604,65267064,Bulgaria
1692,Australia,201604,12024,Bulgaria
1693,Austria,201604,1911,Bulgaria
1694,Belgium,201604,5414323,Bulgaria
1695,Bulgaria,201604,68530,Bulgaria
1696,Denmark,201604,20964049,Bulgaria
1697,Finland,201604,31791,Bulgaria
1698,France,201604,5642981,Bulgaria
1699,Germany,201604,9231741,Bulgaria
1700,Hungary,201604,64307,Bulgaria
1701,Ireland,201604,5136982,Bulgaria
1702,Italy,201604,932586,Bulgaria
1703,Netherlands,201604,6646311,Bulgaria
1704,Poland,201604,2983686,Bulgaria
1705,Portugal,201604,810729,Bulgaria
1706,Romania,201604,386424,Bulgaria
1707,Spain,201604,6625222,Bulgaria
1708,USA,201604,313469,Bulgaria
1757,World,201605,78991949,Bulgaria
1758,Belgium,201605,6253271,Bulgaria
1759,Denmark,201605,28516257,Bulgaria
1760,Finland,201605,66298,Bulgaria
1761,France,201605,5152675,Bulgaria
1762,Germany,201605,13733882,Bulgaria
1763,Greece,201605,11075,Bulgaria
1764,Hungary,201605,57059,Bulgaria
1765,Ireland,201605,5553006,Bulgaria
1766,Italy,201605,1004288,Bulgaria
1767,Netherlands,201605,7820516,Bulgaria
1768,Poland,201605,3072833,Bulgaria
1769,Portugal,201605,255101,Bulgaria
1770,Romania,201605,268170,Bulgaria
1771,Spain,201605,6917200,Bulgaria
1772,Sweden,201605,33442,Bulgaria
1773,USA,201605,276874,Bulgaria
1825,World,201606,98253017,Bulgaria
1826,Belgium,201606,7079900,Bulgaria
1827,Chile,201606,23297,Bulgaria
1828,Denmark,201606,36519869,Bulgaria
1829,France,201606,6112513,Bulgaria
1830,Germany,201606,16485464,Bulgaria
1831,Hungary,201606,136737,Bulgaria
1832,Ireland,201606,6703355,Bulgaria
1833,Italy,201606,1016613,Bulgaria
1834,Netherlands,201606,9169066,Bulgaria
1835,Poland,201606,4214615,Bulgaria
1836,Portugal,201606,765555,Bulgaria
1837,Romania,201606,155292,Bulgaria
1838,Spain,201606,9524046,Bulgaria
1839,USA,201606,346697,Bulgaria
1886,World,201607,88817227,Bulgaria
1887,Austria,201607,13741,Bulgaria
1888,Belgium,201607,4889374,Bulgaria
1889,Denmark,201607,35048158,Bulgaria
1890,Finland,201607,29092,Bulgaria
1891,France,201607,4454427,Bulgaria
1892,Germany,201607,15855292,Bulgaria
1893,Greece,201607,3031,Bulgaria
1894,Hungary,201607,107364,Bulgaria
1895,Ireland,201607,6036589,Bulgaria
1896,Italy,201607,1016354,Bulgaria
1897,Netherlands,201607,9043509,Bulgaria
1898,Poland,201607,3377298,Bulgaria
1899,Portugal,201607,504661,Bulgaria
1900,Romania,201607,327371,Bulgaria
1901,Spain,201607,7790968,Bulgaria
1902,USA,201607,319997,Bulgaria
1951,World,201608,98761435,Bulgaria
1952,Austria,201608,301430,Bulgaria
1953,Belgium,201608,7506408,Bulgaria
1954,Denmark,201608,36882607,Bulgaria
1955,France,201608,5314538,Bulgaria
1956,Germany,201608,19368806,Bulgaria
1957,Greece,201608,1939,Bulgaria
1958,Hungary,201608,105534,Bulgaria
1959,Ireland,201608,6801256,Bulgaria
1960,Italy,201608,961706,Bulgaria
1961,Netherlands,201608,9288367,Bulgaria
1962,Poland,201608,2290668,Bulgaria
1963,Portugal,201608,533989,Bulgaria
1964,Romania,201608,191643,Bulgaria
1965,Spain,201608,8945648,Bulgaria
1966,USA,201608,266897,Bulgaria
2016,World,201609,100155390,Bulgaria
2017,Austria,201609,357542,Bulgaria
2018,Belgium,201609,6747526,Bulgaria
2019,Denmark,201609,36867323,Bulgaria
2020,France,201609,6329165,Bulgaria
2021,Germany,201609,18723235,Bulgaria
2022,Greece,201609,6177,Bulgaria
2023,Hungary,201609,116757,Bulgaria
2024,Ireland,201609,6524190,Bulgaria
2025,Italy,201609,882926,Bulgaria
2026,Netherlands,201609,10446100,Bulgaria
2027,Poland,201609,2660214,Bulgaria
2028,Portugal,201609,500645,Bulgaria
2029,Romania,201609,592499,Bulgaria
2030,Spain,201609,9071397,Bulgaria
2031,USA,201609,329694,Bulgaria
2080,World,201610,103182198,Bulgaria
2081,Austria,201610,478856,Bulgaria
2082,Belgium,201610,6654662,Bulgaria
2083,Denmark,201610,40850066,Bulgaria
2084,Finland,201610,3750,Bulgaria
2085,France,201610,4166827,Bulgaria
2086,Germany,201610,18272509,Bulgaria
2087,Greece,201610,4638,Bulgaria
2088,Hungary,201610,466083,Bulgaria
2089,Ireland,201610,7556388,Bulgaria
2090,Italy,201610,502160,Bulgaria
2091,Netherlands,201610,8614983,Bulgaria
2092,Poland,201610,3736910,Bulgaria
2093,Portugal,201610,626779,Bulgaria
