period,partner,United Kingdom,France,Belgium,China,Czechia,Chile,Georgia,Azerbaijan,Germany,Greece,Bulgaria,Hungary,Ireland,Italy,Argentina,Austria,Canada,Croatia,Lithuania,Estonia,Latvia,Luxembourg,Malta,Netherlands,New Zealand,Poland,Portugal,Rep. of Moldova,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Denmark,Finland,Morocco,Norway,Turkey,USA
201507,World,4911.0,202182.0,12812.0,,,,,,,,,,,823656.0,67402.0,19045.0,,4084.0,,,,,,123078.0,,22999.0,,,22344.0,,,,11722.0,20500.0,241587.0,8372.0,,3246.0,,1296535.0
201508,France,1851.0,,7168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201508,Ireland,1498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201508,Lithuania,874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.0,,,,,
201508,Poland,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14555.0,,,,,
201508,World,4343.0,34364.0,7750.0,,,,,,,,,,,2478.0,,,383865.0,6281.0,,,,,,,,,90241.0,,5792.0,,63441.0,,,28205.0,23146.0,,,,,
201509,France,462.0,,30358.0,,,,,,,,,,,198801.0,,,,,,,,,,,,,,,,,,,24462.0,,,,,,,
201509,Ireland,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201509,Italy,179349.0,121220.0,,,,,,,,,,,,,,,,,,,,,5173.0,,,,34073.0,,,,,1893.0,,,9972.0,8144.0,,,,
201509,Lithuania,4555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,,,,,
201509,Netherlands,54628.0,29765.0,10707.0,,,,,,,,,,,,,,,,4629.0,,,,,,,,,,,,,,123992.0,4420.0,123708.0,,,,,
201509,Poland,453.0,,,,,,,,,,,,,,,,,,4778.0,,,,,,,,,,14195.0,,,,,,13523.0,,,,,
201509,Turkey,5888.0,24382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201509,World,245795.0,600613.0,107364.0,,,,,,,,,,5985.0,973332.0,,3243.0,,,12964.0,,,,5173.0,,,4500.0,39321.0,,15900.0,,119997.0,1962.0,148454.0,20070.0,153617.0,9933.0,,289920.0,,
201510,France,5666.0,,26586.0,,17580.0,,,,,9078.0,,,,942443.0,,,,,,,,,,140381.0,,,,,,,120462.0,,841232.0,,222826.0,,,,,
201510,Ireland,1198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510,Italy,217191.0,228349.0,19736.0,,,,,,,,,,,,,3123.0,,,,,,,,177524.0,,,,,,,,,,219647.0,,,,450405.0,,
201510,Poland,782.0,,,,,,,,,,,,,903583.0,,,,,,,,,,,,,,,39626.0,,,,,,16339.0,,,,,
201510,World,224837.0,639302.0,56192.0,,149002.0,,,,,13336.0,,,11784.0,2174415.0,,5460.0,1932195.0,,37900.0,,70954.0,,,317906.0,,219441.0,14944.0,,60096.0,,315128.0,,916484.0,377653.0,324085.0,,,874915.0,,194032.0
201511,France,2413.0,3124.0,13497.0,,13490.0,,,,,,,,,472044.0,,,,,,,,,,,,,,,,,,,252254.0,3919.0,119656.0,,,,,
201511,Ireland,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201511,Italy,456217.0,276286.0,,,,,,,,,,,,,,9542.0,,,,,,,1952.0,159083.0,,,92888.0,,,,,,5267.0,264305.0,19513.0,,,265185.0,,
201511,Lithuania,3243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079.0,,,,,
201511,Netherlands,291.0,,14449.0,,,,,,,,,5495.0,,2628.0,,,,,,,,,6451.0,,,,,,15196.0,,,,,17290.0,15711.0,,,,,
201511,Poland,1775.0,,,,,,,,,,,2715.0,,642522.0,,,,,,,,,,,,,,,24703.0,,,,,,14715.0,,,,,
201511,World,464713.0,973870.0,82798.0,,19577.0,,,,,6034.0,,8700.0,5212.0,2775120.0,,13126.0,1935409.0,,18036.0,30459.0,7630.0,,8402.0,159083.0,,77744.0,114854.0,,43266.0,,31696.0,2022.0,316013.0,315598.0,196488.0,11457.0,,307706.0,,50500.0
201512,France,3935.0,,16304.0,,3409.0,,,,,,,,,308274.0,,,,,,,,,,,,,,,,,,,131786.0,,,,,,,
201512,Germany,15990.0,,49569.0,,,,,,,,,,56695.0,,,,,,,,,,,,,,57162.0,,,,,,,37175.0,10222.0,,,,,
201512,Ireland,2634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201512,Lithuania,1625.0,,,,,,,,,,,,,,,,,,,,16831.0,,,,,,,,,,,,,,,,,,,
201512,Netherlands,1121.0,8158.0,4350.0,,,,,,,,,,,,,,,,,,,,12400.0,,,,,,15228.0,,,,,5764.0,100305.0,,,,,
201512,Poland,1192.0,,,,,,,,,,,,,1023871.0,,,,,,,,,,,,,,,17501.0,,,,,,12500.0,,,,,
201512,World,26496.0,454299.0,73998.0,,14042.0,,,,,,,4660.0,56695.0,1660125.0,,2404.0,34683.0,,44024.0,11320.0,17029.0,,14238.0,,,,88266.0,,35677.0,,,,277581.0,42939.0,130793.0,2787.0,,21159.0,,72322.0
201601,France,236.0,,12330.0,,,,,,,,,,,88216.0,,,,,,,,,,,,,33443.0,,,,,,14850.0,,,,,,,
201601,Ireland,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201601,Lithuania,1947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201601,Poland,128.0,,,,6503.0,,,,,,,,,394970.0,,,,,,,,,,,,,,,2150.0,,,,,,,,,,,
201601,Turkey,10943.0,,,,,,,,,,,,,,,,11678.0,,,,,,,,,,,,,,,,,,,,,,,
201601,World,13681.0,522897.0,42639.0,,6665.0,,,,,,,,,485940.0,,30158.0,26548.0,,9903.0,,,,,,,,57427.0,,83850.0,,4209.0,,19500.0,4680.0,9589.0,6376.0,,3900.0,,
201602,France,267.0,,,,,,,,,,,,,90139.0,,,,,,,,,,,,,,,,,,,36691.0,,,,,,,
201602,Ireland,479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201602,Italy,842.0,65303.0,,,,,,,,,,,,,,,,,,,,,,9984.0,,,,,,,,,38826.0,,,,,,,
201602,Lithuania,2938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201602,Poland,596.0,,,,,,,,,,,,,222406.0,,,,,,,,,,,,,,,10916.0,,,,,,,,,,,
201602,World,5122.0,479867.0,44396.0,,,,,,,3153.0,,,4560.0,314747.0,,29829.0,,,29877.0,,,,,9984.0,,,3369.0,,11914.0,,,,75517.0,3536.0,67108.0,5962.0,,,,
201603,France,817.0,,,,,,,,,,,,,244739.0,,,,,,,,,,,,,,,,,,,101738.0,,,,,,,
201603,Ireland,2423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201603,Italy,1842.0,134019.0,,,,,,,,,,,,,,,,3414.0,,,,,,,,,,,,,,,,,,5488.0,,7687.0,,
201603,Lithuania,1162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201603,Poland,363.0,,,,,,,,,,,,,459191.0,,,,,,,,,,,,,,,3297.0,,,,,,,,,,,
201603,World,6607.0,200454.0,,,,,,64800.0,,,,,,959788.0,,2309.0,42364.0,3414.0,5706.0,,,,,,,,,,7071.0,,,,101738.0,17091.0,39350.0,8546.0,,7687.0,,
201604,France,66.0,,30263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45810.0,,,,,,,
201604,Ireland,1796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201604,Lithuania,1982.0,,,,,,,,,,,,,,,,,,,,3516.0,,,,,,,,,,,,,,,,,,,
201604,Poland,458.0,,,,,,,,,,,,,42734.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201604,World,4302.0,191981.0,33014.0,,,,,,,,,,,535931.0,,2517.0,,,5061.0,,3585.0,,,,,,3513.0,,4116.0,,,,158713.0,2464.0,56313.0,3386.0,,3754.0,,
201605,France,64.0,,,,,,,,,,,,,64518.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201605,Italy,1945.0,5972.0,,,,,,,,,,,,,,,,,,,,,4377.0,29974.0,,,,,,,,,,,,,,,,
201605,Lithuania,1627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201605,World,3635.0,241730.0,40680.0,,,,,,,,,2312.0,2846.0,200502.0,,13528.0,5509.0,,,,,,4377.0,29974.0,,,2227.0,,2545.0,,,,,17643.0,41061.0,7928.0,,,,
201606,Hungary,6997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201606,Ireland,2520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
